Shipping Point,DepotLongitude,DepotLatitude,Ship to,CusLongitude,CusLatitude,Planned Delivery Date,DOW,Beginning1,Ending1,Beginning2,Ending2,Number of HUs,Dwell Time,Total Volume,Total Weight,AllowedTrucks
2513,123.933450191248,10.3159584600369,70012153,124.005522,11.05126849,2023-01-23,Monday,08:00,17:00,,,2.0,0.45,0.003,0.673,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70494719,124.0054156,11.05179254,2023-01-23,Monday,08:00,17:00,,,1.0,0.35,0.0,0.046,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70559301,123.925209,10.33929534,2023-01-23,Monday,08:00,17:00,,,3.0,0.55,0.009,2.931,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70494719,124.0054156,11.05179254,2023-01-23,Monday,08:00,17:00,,,1.0,0.35,0.023,5.314,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70559301,123.925209,10.33929534,2023-01-23,Monday,08:00,17:00,,,1.0,0.35,0.066,22.442,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70559301,123.925209,10.33929534,2023-01-23,Monday,08:00,17:00,,,1.0,0.35,0.0,0.034,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70494719,124.0054156,11.05179254,2023-01-23,Monday,08:00,17:00,,,2.0,0.45,0.001,0.716,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70494719,124.0054156,11.05179254,2023-01-23,Monday,08:00,17:00,,,1.0,0.35,0.002,0.306,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70559301,123.925209,10.33929534,2023-01-23,Monday,08:00,17:00,,,1.0,0.35,0.001,0.09,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70559301,123.925209,10.33929534,2023-01-23,Monday,08:00,17:00,,,2.0,0.45,0.00032,0.174,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70494719,124.0054156,11.05179254,2023-01-23,Monday,08:00,17:00,,,1.0,0.35,0.000423,0.054,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70494719,124.0054156,11.05179254,2023-01-23,Monday,08:00,17:00,,,1.0,0.35,0.000438,0.061,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70559301,123.925209,10.33929534,2023-01-23,Monday,08:00,17:00,,,3.0,0.55,0.001,0.271,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70082236,124.0140628,11.0553226,2023-01-30,Monday,08:00,17:00,,,2.0,0.45,0.056,22.608,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012430,123.8920974,10.31486357,2023-01-25,Wednesday,08:00,17:00,,,2.0,0.45,0.039,16.252,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70135374,123.9310662,10.32330597,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.0,0.132,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012430,123.8920974,10.31486357,2023-01-25,Wednesday,08:00,17:00,,,2.0,0.45,0.005,0.66,"{AUV, 4w, 6w, 10w, 40ft}"
2513,123.933450191248,10.3159584600369,70012430,123.8920974,10.31486357,2023-01-25,Wednesday,08:00,17:00,,,1.0,0.35,0.013,3.42,"{AUV, 4w, 6w, 10w, 40ft}"
