Depot,DepotLong,DepotLat,Customer,CusLong,CusLat,DeliveryDate,DOW,Beginning1,Ending1,Beginning2,Ending2,HUs,DwellTime,CBM,KGM,AllowedTrucks,,
2524,121.0973984,14.30953239,70019480,120.8572967,14.40886541,1/12/2023,Thursday,8:00,17:00,,,1,1,0.003,2.439,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70017539,121.0690191,14.59052169,1/12/2023,Thursday,8:00,16:00,,,1,1,1,187,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70019527,121.0227709,14.20674401,1/12/2023,Thursday,8:00,17:00,,,1,1,0,46,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70019480,120.8572967,14.40886541,1/12/2023,Thursday,8:00,17:00,,,1,1,3,383,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70018486,121.068201,14.62798652,1/13/2023,Friday,8:00,17:00,,,1,1,0.007,4.132,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70152945,121.0138355,14.55228764,1/13/2023,Friday,8:00,17:00,,,1,1,1,92,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70155196,121.0436435,14.48644031,1/13/2023,Friday,8:00,17:00,,,1,1,1,138,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70017470,121.0174927,14.56348294,1/13/2023,Friday,8:00,17:00,,,1,1,0.078,8.45,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70017539,121.0690191,14.59052169,1/13/2023,Friday,8:00,16:00,,,2,1,0.076,23.04,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70017505,121.0145315,14.55467704,1/13/2023,Friday,8:00,17:00,,,4,1,0.071,9.029,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70155196,121.0436435,14.48644031,1/13/2023,Friday,8:00,17:00,,,2,1,0.008,3.678,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70083842,121.0272289,14.549463,1/13/2023,Friday,8:00,17:00,,,1,1,1,36,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70435202,121.0267766,14.54964538,1/13/2023,Friday,8:00,17:00,,,1,1,0.27,20,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70019315,121.0459705,14.56515049,1/13/2023,Friday,8:00,17:00,,,1,1,0,46,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70083842,121.0272289,14.549463,1/13/2023,Friday,8:00,17:00,,,1,1,0,46,"{AUV, 4w, 6w, 10w, 40ft}",,
2524,121.0973984,14.30953239,70401488,121.0259834,14.55372651,1/13/2023,Friday,8:00,17:00,,,1,1,0,23,"{AUV, 4w, 6w, 10w, 40ft}",,
