"#{""t_start"": 1766644727.1364343"," ""env_id"": ""None""}",
r,l,t
3.9816647,8,353.387794
3.710026,28,353.51307
2.822733,7,355.47516
3.5771573,4,357.712174
3.9680533,6,357.712508
4.0321965,11,361.224076
3.5973718,20,361.510598
3.424784,3,361.510895
3.279228,2,365.232381
3.66949,9,365.232658
3.1416063,56,365.59084
4.268148,3,365.63075
-0.001770611,1,365.956202
3.5200517,53,368.744493
2.9150794,1,369.357296
1.6544527,1,369.597192
3.64349,31,369.597482
3.780735,9,377.255867
2.8994472,5,379.560578
4.4124594,5,379.929753
3.0832376,1,382.996283
3.7380981,5,383.307586
2.1820908,2,385.94928
2.827455,3,385.949594
2.483879,1,386.194733
3.4627388,8,386.604287
4.1395164,13,387.303401
3.5083847,3,387.320315
4.236534,20,387.48715
3.6839252,7,389.960673
3.1280048,3,391.721192
3.585348,12,391.72151
2.4856021,1,391.72168
4.308431,3,394.574614
4.1198072,6,394.575038
2.4880834,1,396.49221
1.4363052,1,396.492806
4.3269906,11,398.489906
3.5215468,23,400.217093
3.7176394,2,403.162873
4.5813446,17,403.163188
4.470353,6,404.210282
3.9204338,5,405.218718
3.702119,4,406.172637
3.585256,6,406.643902
3.8574219,4,406.913159
3.2889924,8,412.526498
2.5710232,2,412.526859
4.4737597,6,412.527077
3.675754,19,412.769987
3.3477695,4,412.854665
3.16943,2,413.171338
2.5465236,1,413.695008
3.0059097,1,414.747782
3.600737,6,425.890415
0.43186727,1,426.759184
4.277746,7,429.232755
3.879092,9,430.00765
3.9512386,16,430.108629
3.0093622,4,430.109113
3.3547273,10,430.400848
3.3588324,16,432.133107
3.9639082,11,433.798968
2.5698676,1,434.024343
3.5970438,8,434.707029
2.7772863,2,437.266171
2.5257823,1,437.790714
3.2853262,4,437.791014
2.3507495,1,438.514218
3.5659277,10,438.514499
4.053044,4,443.883591
3.1992776,2,443.883985
3.0484142,1,443.884192
3.92389,2,445.066747
4.038279,7,450.836433
3.4997675,8,452.177078
3.8626993,6,452.177379
3.7757506,20,452.395142
2.829897,2,453.846755
2.1361341,2,453.847043
2.8028295,1,456.597616
3.9739113,3,456.598016
3.8006837,3,457.387212
2.3108032,2,457.543225
3.7909055,2,459.565121
3.6764064,2,461.675396
2.1881049,1,461.675733
3.9116275,8,467.122674
2.2762127,1,467.123471
3.9959903,3,469.110759
3.5319486,30,471.639134
3.9038613,21,474.860563
3.3778582,3,474.921067
3.1862118,1,477.403122
2.6167388,51,479.573278
3.715258,11,481.797726
3.3162642,20,484.503949
3.501878,7,484.772602
3.9914317,10,484.940745
3.439234,7,485.372199
2.0378551,1,485.720281
3.2668571,4,485.72078
3.2571666,3,485.975187
3.676808,14,486.20436
3.95115,6,487.947249
1.3181723,1,490.41997
3.52452,2,490.420311
1.4771651,1,493.273451
2.6158493,5,496.292838
4.1156306,10,498.777544
1.4413701,1,499.612282
2.012316,1,499.962551
3.8392584,7,500.379026
3.7913592,2,500.681419
3.1865687,1,503.647465
2.3066823,1,504.001387
3.6684036,10,509.872123
2.5872228,1,510.126788
3.4255424,8,510.127029
3.2687159,3,513.982991
3.836786,6,513.983298
4.8790097,12,514.080856
2.186356,2,515.019526
2.9396746,2,515.019928
1.1760311,2,515.448466
0.939963,1,515.448771
3.3787708,4,517.787457
3.7534509,9,517.787701
0.80647653,1,517.913411
3.145861,2,517.913776
3.4491158,24,518.455944
2.0093892,1,521.562291
4.0988493,4,521.56264
3.6037867,22,525.936568
3.1493819,49,527.729352
4.333046,12,530.642034
3.4267147,5,533.116861
3.7765107,6,536.855866
3.078228,6,536.856155
3.462457,8,538.071208
2.955813,2,543.500595
3.6345265,26,545.267425
4.209542,6,548.956391
2.4016292,1,549.326313
3.9004943,10,549.326605
3.998258,8,556.388448
4.096135,12,556.903684
4.3981075,14,556.903961
1.3132023,1,558.932993
3.863316,15,558.933264
4.339496,2,559.191418
4.1051493,2,559.359187
1.4150862,1,559.821311
3.4598277,6,559.821799
3.2898426,8,560.04464
3.9494944,2,560.044963
1.444976,1,561.083318
3.3417625,6,562.585284
3.057798,3,563.560802
3.103313,4,567.853768
3.62452,6,568.329466
3.3850763,25,570.577961
4.047036,5,575.284121
3.2037575,4,575.582339
3.560197,8,578.648168
3.8737128,4,578.648466
2.6800177,1,580.587718
2.338087,3,580.588079
3.900367,14,582.657843
3.5200067,16,583.233799
2.4800704,1,583.897168
3.7606726,3,583.897431
3.2206173,3,585.691016
3.1075633,2,587.599136
2.488201,1,587.599636
4.6137276,9,591.057854
3.5961323,3,596.320622
2.8496041,8,604.439946
3.803003,5,604.440271
3.882644,3,606.424424
2.5508873,1,607.466796
3.4368331,3,607.467083
3.2852156,8,607.467238
1.5898796,1,608.342087
2.9779239,2,608.611537
2.7731102,3,608.611858
1.0380265,3,608.909842
4.2043138,18,610.445538
3.425298,3,611.255371
3.412212,24,611.616352
4.5064573,5,613.374231
3.7849557,3,613.374551
3.0465696,4,613.374648
3.9527602,4,615.081742
3.8777199,3,618.802852
3.5450535,31,619.682825
3.0826025,21,620.08079
4.2452245,5,621.096876
2.7198348,5,622.18429
3.2505229,5,622.369568
0.28300008,1,622.369891
2.772618,1,624.611614
2.7246425,3,627.8984
3.8744423,7,629.627224
3.7187266,6,632.419559
3.5841732,3,632.419871
3.0909424,6,633.185467
3.6724434,16,633.876441
3.5738726,35,634.489628
3.179725,31,638.463388
3.514479,11,640.338717
3.8381371,4,646.858235
4.1146975,3,646.858563
2.359716,1,650.097398
3.813815,2,650.097733
3.341736,20,651.741811
3.4573715,6,651.833679
4.02249,10,653.461499
3.8771636,5,653.751209
3.8679163,4,661.553991
2.3570976,2,663.387427
4.077725,8,669.246975
3.7746654,12,669.247309
3.6422296,16,673.717851
1.1506968,1,674.15305
1.6100601,1,674.316443
1.5025337,1,674.31673
0.5753606,1,676.736791
3.257837,11,679.677633
3.5702817,36,681.044801
3.08452,24,681.243447
3.931987,7,681.243693
4.0089035,9,683.129057
3.8211963,29,683.884375
3.4487023,11,683.884672
3.5479555,6,688.031058
4.754599,6,688.439007
3.94407,3,690.747969
3.6631525,12,694.799836
3.111846,2,697.056442
3.7010775,7,699.266577
3.7323022,4,699.266867
1.651411,1,699.518282
3.6491947,2,705.151185
3.690918,8,705.151623
3.3638773,5,705.512526
1.9533979,4,705.512815
3.61721,31,705.512956
4.3045635,4,707.919275
0.29648206,1,713.367397
4.164971,18,713.540973
3.4598832,17,713.56646
3.996922,6,713.790209
3.664325,2,713.957134
2.7812862,1,713.957485
0.062032983,1,718.875283
3.1472116,3,724.357372
4.063984,7,724.357694
3.6115024,57,724.644779
3.1497796,7,725.514011
3.5643249,8,725.514278
3.9693017,2,727.651977
4.0004406,5,729.086076
-0.005,1,729.303882
3.663677,4,732.872783
1.9937303,1,733.094493
3.6893663,14,735.437929
3.053495,1,737.824407
4.00094,9,738.945791
0.8643172,1,740.776052
3.327687,9,742.105252
3.5142715,2,743.943555
3.935063,6,743.944006
2.6448004,78,745.089516
2.7843812,1,750.425118
2.8953516,2,751.398455
3.2066638,8,751.804178
2.9929764,4,751.804506
