#{"t_start": 1766937117.513359, "env_id": "None"}
r,l,t
3.4312382,3,23.084273
3.3890207,8,39.16624
1.5825009,1,41.43588
3.9849422,9,41.436169
3.6286364,6,69.282284
3.5986571,17,74.585089
3.6511953,15,124.210169
3.9445202,5,140.301619
3.4704776,29,153.235117
3.09043,39,169.081715
4.4375496,31,187.320496
4.2552576,22,222.774819
4.82867,11,233.136811
4.1857586,17,233.13712
3.789865,26,243.155729
3.5349739,6,243.418338
4.1626396,9,279.504081
4.1128764,18,286.578749
3.96467,32,349.101776
3.710026,28,353.51307
3.5973718,20,361.510598
3.424784,3,361.510895
3.4627388,8,386.604287
4.470353,6,404.210282
4.277746,7,429.232755
3.5319486,30,471.639134
2.6167388,51,479.573278
3.95115,6,487.947249
4.8790097,12,514.080856
3.4491158,24,518.455944
3.1493819,49,527.729352
3.998258,8,556.388448
3.5200067,16,583.233799
4.6137276,9,591.057854
3.882644,3,606.424424
3.0909424,6,633.185467
3.4573715,6,651.833679
3.5702817,36,681.044801
3.08452,24,681.243447
3.931987,7,681.243693
4.3045635,4,707.919275
3.996922,6,713.790209
3.6115024,57,724.644779
4.0160637,10,756.294906
3.682275,16,762.225986
4.001119,33,812.339919
4.025917,13,815.582559
3.9970453,4,820.143066
4.094005,33,827.102885
3.5118139,25,846.402498
3.7821865,9,846.402814
2.6847813,1,851.417724
3.4558196,6,870.12412
4.243874,6,874.535189
3.4528527,17,882.046077
4.1960344,20,902.406465
4.444878,7,908.846423
4.0576677,12,918.562967
3.7992525,7,948.42412
4.1527257,15,963.998611
4.3703513,4,978.856152
4.4425006,5,997.439229
3.7440383,3,1014.33987
4.0389547,43,1084.226398
3.6059878,56,1111.356076
2.352827,40,1111.356406
1.9489267,1,1115.23166
2.0411258,1,1121.158468
3.8926272,4,1124.09939
3.9994364,5,1134.887257
3.7935696,6,1167.655422
3.1656506,29,1191.351218
4.166922,11,1198.019562
3.2691596,2,1205.068542
4.188063,23,1208.268224
4.52033,7,1208.559132
3.5765014,54,1210.754163
4.284157,9,1232.627058
3.9509342,12,1242.110478
4.227812,6,1250.967943
4.1717763,16,1250.968258
3.6656497,19,1273.626579
3.6227574,6,1273.6271
2.5265162,1,1277.481721
1.5084238,1,1277.482006
4.0961776,21,1334.925874
3.9371564,4,1359.362126
4.233268,19,1362.132076
4.0293026,10,1401.252244
4.145334,4,1412.617686
3.5927145,3,1425.619167
2.995496,2,1437.809843
2.9742656,57,1474.166921
3.6535726,30,1474.167225
3.9341626,5,1493.261558
2.626123,2,1501.559892
3.695358,33,1559.786242
4.5080214,24,1562.750198
3.8565843,18,1562.99075
3.807784,5,1583.33923
2.7932243,88,1631.648953
3.9834516,20,1650.662825
3.9914055,7,1688.225991
4.0302873,33,1717.820581
3.5322747,13,1744.590761
3.7083094,34,1749.327408
2.9156835,40,1816.282298
3.9650905,19,1832.4281
3.583883,4,1851.558729
3.3721578,9,1855.973568
3.7872734,36,1876.023508
4.590746,7,1881.976342
4.1872697,17,1922.328094
3.5783024,11,1922.328387
3.6165092,44,1935.137895
4.502177,5,1943.32129
3.787329,3,1947.727521
3.6303759,9,1957.937167
4.0377584,8,1989.819721
3.374305,19,2012.496773
4.2517633,19,2027.438172
3.3688855,17,2045.645703
2.8514109,56,2106.000996
4.280331,6,2135.328509
4.0942035,11,2176.081089
3.4355912,49,2198.036517
4.132881,12,2222.903502
3.2016985,2,2229.595066
3.4706385,49,2238.646862
3.8572981,65,2285.292769
4.5265164,4,2303.536216
4.4955945,21,2320.91839
3.8641405,35,2355.417457
4.0290623,18,2356.648378
3.4332085,50,2382.409553
3.5786402,7,2382.409854
3.977062,3,2398.147909
4.059441,39,2472.261211
3.426202,60,2585.45608
2.8535042,56,2612.799076
2.5940893,63,2622.846713
4.1340504,11,2628.933109
3.1873782,50,2651.242104
4.1809874,18,2679.707548
3.5595438,28,2740.387802
4.0110717,39,2770.393557
3.9309356,5,2785.59313
3.710494,46,2835.203017
3.0430388,52,2835.203318
3.6998417,31,2838.502704
3.8230667,18,2841.387778
3.212501,4,2846.088238
2.69706,3,2860.518527
3.8855944,11,2885.544617
4.239004,17,2906.537959
3.2527552,2,2912.947958
3.5382502,6,2912.948265
3.845015,20,2919.669573
3.6932921,6,2934.215152
3.9890425,5,2937.09658
4.8055468,11,2950.220728
3.994296,25,2953.6384
4.163713,13,3010.733458
4.40057,21,3017.140697
3.1942852,2,3020.437976
3.7165399,21,3034.610631
4.6089077,27,3036.875987
3.7037952,13,3057.356865
4.957597,20,3121.884994
3.5782835,34,3128.464877
3.0796714,2,3138.447019
4.1153755,35,3152.351
2.889604,2,3157.55276
4.1629663,7,3161.359362
4.176296,12,3167.914127
3.0358956,3,3177.019123
3.9557998,13,3219.060749
3.7669487,5,3249.133142
1.6234616,1,3250.135895
3.0180461,62,3262.880823
3.6969612,29,3276.985274
3.609524,34,3287.23922
3.490952,6,3306.984277
3.8491955,7,3316.790938
4.499069,8,3334.693772
4.3553624,4,3344.97488
3.9274008,27,3366.888887
4.876681,17,3378.106247
4.4255247,10,3405.946112
2.909703,18,3418.321553
3.3746316,4,3430.667572
2.6535459,1,3433.589028
4.2215652,17,3441.531288
3.7535074,52,3444.155571
4.136594,4,3447.812739
3.7301235,9,3480.14107
4.6322,22,3483.529857
4.0627007,12,3491.495761
4.7559285,19,3501.278716
3.1899137,13,3518.003605
3.6975992,19,3555.20059
4.1136484,7,3582.199807
4.1050906,31,3626.739362
2.7239451,25,3679.861139
3.501354,45,3688.92584
2.7893016,1,3692.838705
3.3008192,5,3696.859862
1.9499253,75,3757.877877
3.569629,2,3764.256921
4.1906037,9,3812.850475
3.7900302,14,3869.484014
3.7184558,45,3889.656166
1.6819003,1,3895.085592
2.431449,76,3935.00337
4.223213,15,3951.149871
4.264701,10,3959.966062
3.3345432,5,3959.966359
4.4727545,8,3990.637616
4.3404784,35,3996.382618
2.6055582,84,4021.118805
4.089935,27,4045.456896
3.2704813,38,4116.657088
3.8548548,23,4135.938749
2.9266617,2,4139.484998
3.76722,42,4139.485267
2.9585419,3,4151.766122
3.510599,5,4162.691262
3.2165632,44,4175.05076
4.549347,6,4175.05106
3.4441445,18,4181.541135
3.7083998,4,4182.403409
4.0678334,22,4282.666452
3.740746,3,4293.559467
3.6291292,6,4319.206381
3.3154936,49,4359.705868
3.766479,5,4379.817805
2.8018546,50,4389.309664
4.1856575,29,4421.872948
3.5526712,6,4434.439138
3.8648248,21,4460.011776
3.8874187,25,4532.912376
2.8215687,100,4561.286144
3.1597226,1,4566.142555
4.0161242,52,4572.752224
3.8245986,2,4579.007945
2.8016632,37,4617.852145
3.6220996,13,4671.262384
3.4469628,11,4709.877459
3.8492975,33,4717.301607
3.4051595,3,4730.196685
4.2947607,5,4744.933393
3.39684,41,4744.933657
3.4251423,5,4771.957862
2.459001,55,4778.310399
3.923176,11,4810.201746
3.4657645,24,4828.121776
1.2986695,1,4831.042288
3.6854043,20,4842.846455
3.9243526,6,4846.259677
4.2310104,13,4846.5136
3.5178463,24,4923.993356
3.8565278,53,4927.547672
3.4803193,1,4929.476269
4.3323836,12,4970.75849
3.6595242,4,4983.338751
4.02742,4,5002.255615
3.5163224,2,5009.144826
3.9069374,48,5009.145098
1.2613864,1,5011.189571
3.4900255,48,5011.189832
3.8908246,3,5018.661909
4.008739,39,5043.225863
4.271094,17,5066.013732
3.73306,7,5070.8096
3.8705084,4,5084.412602
3.7235284,26,5092.670377
3.8675332,10,5114.385265
3.6681697,2,5122.650632
3.4243498,7,5146.910229
1.635953,1,5147.236162
2.783547,3,5154.598496
3.9043715,28,5159.014302
4.190053,8,5184.493193
4.1097903,58,5201.12397
3.709812,34,5207.104972
3.6870644,6,5207.105258
1.4823456,2,5213.696566
3.4568996,3,5220.623639
3.1152952,2,5226.662755
3.0548012,4,5244.076471
3.9319048,16,5286.447963
3.8550498,6,5308.527932
4.162136,31,5320.2036
3.73216,51,5366.263915
4.081364,12,5367.771067
3.8999283,3,5372.666269
4.0135345,6,5395.159297
4.0163226,8,5398.631887
3.8967664,27,5402.742874
2.9436145,2,5402.743186
4.482277,7,5425.005831
3.9677174,7,5425.006131
3.8352096,13,5465.64878
3.012724,2,5474.279736
4.549829,32,5504.614762
2.6373262,72,5505.526014
3.8926327,29,5581.139995
3.780392,22,5581.140247
3.451982,56,5627.895139
3.9248705,34,5633.457408
3.0637255,2,5637.320975
3.7410338,28,5693.619664
4.378889,6,5716.761212
4.3817925,37,5737.840561
2.4457285,1,5739.39813
3.7169867,24,5740.092496
3.888225,10,5775.864703
4.2433553,10,5776.67138
2.972287,2,5777.076686
5.006849,4,5789.043465
4.2283654,10,5811.598019
3.5766466,49,5815.588925
4.3366747,7,5835.678342
3.44299,36,5842.414501
4.05074,12,5873.312725
3.6670866,20,5904.863876
4.1259747,20,5944.788815
3.7079136,45,5949.63646
3.8095236,39,5955.022521
3.8428936,12,5968.930071
