RouteID,VehicleID,StopOrder,LocationID,ETA,Arrival_Min,List_Order_IDs,Num_Orders,Latitude,Longitude,Allowed_Trucks,Wait_Min,Service_Start_Min,Service_Duration_Min,TimeWindow,Demand_KGM,Demand_CBM,Segment_Dist_KM,Segment_Cost,VehicleType,Route_Total_Cost,Load_On_Board
R_2023-01-12_18,18,0,Depot_Start,06:55,415,START,0,14.30953239,121.0973984,{All},0,415,0,N/A,0,0.0,0.0,0,AUV,865.1300000000001,278
R_2023-01-12_18,18,1,70017505,08:00,480,Row_7,1,14.55467704,121.0145315,"{10w, 40ft, 4w, 6w, AUV}",0,480,60,08:00-17:00,16,0.0,32.31,325,AUV,865.1300000000001,278
R_2023-01-12_18,18,2,70017470,09:04,544,"Row_15, Row_20",2,14.56348294,121.0174927,"{10w, 40ft, 4w, 6w, AUV}",0,544,60,08:00-17:00,6,0.0,2.08,22,AUV,865.1300000000001,262
R_2023-01-12_18,18,3,70017437,10:17,617,Row_13,1,14.60213586,121.0365402,"{10w, 40ft, 4w, 6w, AUV}",0,617,60,08:00-16:00,63,0.001,6.38,66,AUV,865.1300000000001,256
R_2023-01-12_18,18,4,70017539,11:27,687,"Row_16, Row_23",2,14.59052169,121.0690191,"{10w, 40ft, 4w, 6w, AUV}",0,687,60,08:00-16:00,193,0.001,4.94,51,AUV,865.1300000000001,193
R_2023-01-12_18,18,5,Depot_End,13:47,827,END,0,14.30953239,121.0973984,{All},0,827,0,Full Day,0,0.0,39.81,0,AUV,865.1300000000001,0
R_2023-01-12_21,21,0,Depot_Start,07:08,428,START,0,14.30953239,121.0973984,{All},0,428,0,N/A,0,0.0,0.0,0,4w,1027.536,1710
R_2023-01-12_21,21,1,70029285,08:00,480,"Row_0, Row_12",2,14.40933622,120.9408269,"{10w, 40ft, 4w, 6w, AUV}",0,480,60,08:00-17:00,25,0.0,25.85,312,4w,1027.536,1710
R_2023-01-12_21,21,2,70132664,09:03,543,Row_6,1,14.39845245,120.9396642,"{10w, 40ft, 4w, 6w, AUV}",0,543,60,08:00-17:00,86,0.0,1.58,22,4w,1027.536,1685
R_2023-01-12_21,21,3,70019459,10:05,605,"Row_4, Row_5, Row_8",3,14.40432571,120.9407744,"{10w, 40ft, 4w, 6w, AUV}",0,605,60,08:00-17:00,233,0.001,1.07,15,4w,1027.536,1599
R_2023-01-12_21,21,4,70043250,11:09,669,"Row_1, Row_9",2,14.42278761,120.9413851,"{10w, 40ft, 4w, 6w, AUV}",0,669,60,08:00-17:00,64,0.0,2.2,29,4w,1027.536,1366
R_2023-01-12_21,21,5,70019480,12:32,752,"Row_18, Row_22, Row_25",3,14.40886541,120.8572967,"{10w, 40ft, 4w, 6w, AUV}",0,752,60,08:00-17:00,524,0.004,11.65,143,4w,1027.536,1302
R_2023-01-12_21,21,6,70382544,13:34,814,Row_19,1,14.41593786,120.8563922,"{10w, 40ft, 4w, 6w, AUV}",0,814,60,08:00-17:00,180,0.001,1.01,15,4w,1027.536,778
R_2023-01-12_21,21,7,70465560,14:51,891,"Row_2, Row_10, Row_11, Row_14",4,14.39942,120.9045,"{10w, 40ft, 4w, 6w, AUV}",0,891,60,08:00-17:00,595,0.004,8.33,103,4w,1027.536,598
R_2023-01-12_21,21,8,70544149,16:04,964,Row_3,1,14.37686287,120.9354379,"{10w, 40ft, 4w, 6w, AUV}",0,964,60,08:00-17:00,3,0.0,6.61,82,4w,1027.536,3
R_2023-01-12_21,21,9,Depot_End,17:56,1076,END,0,14.30953239,121.0973984,{All},0,1076,0,Full Day,0,0.0,26.06,0,4w,1027.536,0
R_2023-01-12_22,22,0,Depot_Start,07:28,448,START,0,14.30953239,121.0973984,{All},0,448,0,N/A,0,0.0,0.0,0,4w,405.34799999999996,1471
R_2023-01-12_22,22,1,70019527,08:00,480,"Row_17, Row_21, Row_24",3,14.20674401,121.0227709,"{10w, 40ft, 4w, 6w, AUV}",0,480,60,08:00-17:00,1471,0.007,15.92,192,4w,405.34799999999996,1471
R_2023-01-12_22,22,2,Depot_End,09:33,573,END,0,14.30953239,121.0973984,{All},0,573,0,Full Day,0,0.0,16.61,0,4w,405.34799999999996,0
