RouteID,VehicleID,StopOrder,LocationID,ETA,Arrival_Min,List_Order_IDs,Num_Orders,Latitude,Longitude,Allowed_Trucks,Wait_Min,Service_Start_Min,Service_Duration_Min,TimeWindow,Demand_KGM,Demand_CBM,Segment_Dist_KM,Segment_Cost,VehicleType,Route_Total_Cost,Load_On_Board
R_2023-01-06_0,0,0,Depot_Start,06:55,415,START,0,14.30953239,121.0973984,{All},0,415,0,N/A,0,0.0,0.0,0,AUV,696.0500000000001,286
R_2023-01-06_0,0,1,70584255,08:00,480,Row_0,1,14.55939,121.00877,"{10w, 40ft, 4w, 6w, AUV}",0,480,60,08:00-17:00,270,0.002,32.47,326,AUV,696.0500000000001,286
R_2023-01-06_0,0,2,70408280,09:03,543,Row_1,1,14.56712,121.01141,"{10w, 40ft, 4w, 6w, AUV}",0,543,60,08:00-17:00,16,0.0,1.46,16,AUV,696.0500000000001,16
R_2023-01-06_0,0,3,Depot_End,11:12,672,END,0,14.30953239,121.0973984,{All},0,672,0,Full Day,0,0.0,34.68,0,AUV,696.0500000000001,0
