RouteID,VehicleID,StopOrder,LocationID,ETA,Arrival_Min,List_Order_IDs,Num_Orders,Latitude,Longitude,Allowed_Trucks,Wait_Min,Service_Start_Min,Service_Duration_Min,TimeWindow,Demand_KGM,Demand_CBM,Segment_Dist_KM,Segment_Cost,VehicleType,Route_Total_Cost,Load_On_Board
R_2023-01-20_0,0,0,Depot_Start,06:55,415,START,0,14.30953239,121.0973984,{All},0,415,0,N/A,0,0.0,0.0,0,AUV,823.8400000000001,941
R_2023-01-20_0,0,1,70382797,08:00,480,"Row_0, Row_50",2,14.54644879,121.064459,"{10w, 40ft, 4w, 6w, AUV}",0,480,60,08:00-17:00,454,0.004,32.58,327,AUV,823.8400000000001,941
R_2023-01-20_0,0,2,70133553,09:01,541,Row_42,1,14.54511586,121.0667741,"{10w, 40ft, 4w, 6w, AUV}",0,541,60,08:00-17:00,54,0.0,0.4,6,AUV,823.8400000000001,487
R_2023-01-20_0,0,3,70494791,10:12,612,Row_5,1,14.57297813,121.0597505,"{10w, 40ft, 4w, 6w, AUV}",0,612,60,08:00-17:00,70,0.0,5.35,55,AUV,823.8400000000001,433
R_2023-01-20_0,0,4,70019384,11:13,673,Row_45,1,14.57363942,121.0579284,"{10w, 40ft, 4w, 6w, AUV}",0,673,60,08:00-17:00,112,0.0,0.46,6,AUV,823.8400000000001,363
R_2023-01-20_0,0,5,70398370,12:17,737,Row_51,1,14.58594333,121.0483362,"{10w, 40ft, 4w, 6w, AUV}",0,737,60,08:00-17:00,46,0.0,2.03,22,AUV,823.8400000000001,251
R_2023-01-20_0,0,6,70238985,13:18,798,Row_1,1,14.58727604,121.0458805,"{10w, 40ft, 4w, 6w, AUV}",0,798,60,08:00-17:00,27,0.0,0.74,9,AUV,823.8400000000001,205
R_2023-01-20_0,0,7,70126798,14:21,861,Row_40,1,14.58946963,121.0367324,"{10w, 40ft, 4w, 6w, AUV}",0,861,60,08:00-17:00,54,0.0,1.27,14,AUV,823.8400000000001,178
R_2023-01-20_0,0,8,70019391,15:25,925,Row_11,1,14.57679518,121.0349877,"{10w, 40ft, 4w, 6w, AUV}",0,925,60,08:00-17:00,124,0.0,1.98,21,AUV,823.8400000000001,124
R_2023-01-20_0,0,9,Depot_End,17:38,1058,END,0,14.30953239,121.0973984,{All},0,1058,0,Full Day,0,0.0,36.57,0,AUV,823.8400000000001,0
R_2023-01-20_1,1,0,Depot_Start,06:55,415,START,0,14.30953239,121.0973984,{All},0,415,0,N/A,0,0.0,0.0,0,AUV,742.47,773
R_2023-01-20_1,1,1,70401488,08:00,480,Row_22,1,14.55372651,121.0259834,"{10w, 40ft, 4w, 6w, AUV}",0,480,60,08:00-17:00,3,0.0,32.26,324,AUV,742.47,773
R_2023-01-20_1,1,2,70343296,09:02,542,"Row_46, Row_48",2,14.5622009,121.0282218,"{10w, 40ft, 4w, 6w, AUV}",0,542,60,08:00-17:00,184,0.001,1.12,13,AUV,742.47,770
