RouteID,VehicleID,VehicleType,Num_Stops,Total_Distance_KM,Total_Duration_Min,Total_Load_KGM,Total_Load_CBM,Capacity_KGM,Capacity_CBM,Util_KGM_%,Util_CBM_%,Fixed_Cost,Variable_Cost,Penalty_Cost,Total_Trip_Cost,Cost_Per_KG,Simple_Route_Sequence
R_2023-01-12_18,18,AUV,4,85.51,412,278,0.002,1000,4.579,27.8,0.0,10,855.1300000000001,0,865.1300000000001,3.11,Depot -> 70017505 -> 70017470 -> 70017437 -> 70017539 -> Depot
R_2023-01-12_21,21,4w,8,84.38,648,1710,0.01,2000,10.214,85.5,0.1,15,1012.5360000000001,0,1027.536,0.6,Depot -> 70029285 -> 70132664 -> 70019459 -> 70043250 -> 70019480 -> 70382544 -> 70465560 -> 70544149 -> Depot
R_2023-01-12_22,22,4w,1,32.53,125,1471,0.007,2000,10.214,73.6,0.1,15,390.34799999999996,0,405.34799999999996,0.28,Depot -> 70019527 -> Depot
