RouteID,VehicleID,VehicleType,Num_Stops,Total_Distance_KM,Total_Duration_Min,Total_Load_KGM,Total_Load_CBM,Capacity_KGM,Capacity_CBM,Util_KGM_%,Util_CBM_%,Fixed_Cost,Variable_Cost,Penalty_Cost,Total_Trip_Cost,Cost_Per_KG,Simple_Route_Sequence
R_2023-01-16_0,0,AUV,7,95.16,611,475,0.002,1000,4.579,47.5,0.0,10,951.55,0,961.55,2.02,Depot -> 70337705 -> 70030492 -> 70286419 -> 70525152 -> 70019425 -> 70084418 -> 70019475 -> Depot
R_2023-01-16_1,1,AUV,5,134.14,568,555,0.004,1000,4.579,55.5,0.1,10,1341.4300000000003,0,1351.4300000000003,2.44,Depot -> 70548634 -> 70248476 -> 70132665 -> 70019426 -> 70084983 -> Depot
R_2023-01-16_2,2,AUV,6,103.17,566,891,0.006,1000,4.579,89.1,0.1,10,1031.6599999999999,0,1041.6599999999999,1.17,Depot -> 70017459 -> 70017437 -> 70408272 -> 70375866 -> 70019482 -> 70412170 -> Depot
R_2023-01-16_40,40,6w,8,107.17,695,4223,0.018,7000,21.399,60.3,0.1,20,1500.3939999999998,0,1520.3939999999998,0.36,Depot -> 70042197 -> 70347238 -> 70138438 -> 70337217 -> 70019554 -> 70019476 -> 70130674 -> 70017539 -> Depot
R_2023-01-16_42,42,6w,9,121.98,783,2635,0.006,7000,21.399,37.6,0.0,20,1707.678,0,1727.678,0.66,Depot -> 70019375 -> 70019410 -> 70019322 -> 70374983 -> 70484079 -> 70521396 -> 70450886 -> 70030499 -> 70396492 -> Depot
