RouteID,VehicleID,StopOrder,LocationID,ETA,Arrival_Min,List_Order_IDs,Num_Orders,Latitude,Longitude,Allowed_Trucks,Wait_Min,Service_Start_Min,Service_Duration_Min,TimeWindow,Demand_KGM,Demand_CBM,Segment_Dist_KM,Segment_Cost,VehicleType,Route_Total_Cost,Load_On_Board
R_2023-03-17_20,20,0,Depot_Start,07:12,432,START,0,14.30953239,121.0973984,{All},0,432,0,N/A,0,0.0,0.0,0,4w,884.1600000000001,1037
R_2023-03-17_20,20,1,70155196,08:00,480,Row_1,1,14.48644031,121.0436435,"{10w, 40ft, 4w, 6w, AUV}",0,480,60,08:00-17:00,100,0.0,23.89,289,4w,884.1600000000001,1037
R_2023-03-17_20,20,2,70137842,09:02,542,Row_2,1,14.48588427,121.0415858,"{4w, 6w, AUV, MC}",0,542,60,08:00-17:00,50,0.001,0.97,14,4w,884.1600000000001,937
R_2023-03-17_20,20,3,70423736,10:23,623,Row_7,1,14.52257038,120.9896636,"{4w, 6w, AUV, MC}",0,623,60,08:00-17:00,194,0.001,10.34,128,4w,884.1600000000001,887
R_2023-03-17_20,20,4,70019328,11:36,696,"Row_5, Row_6",2,14.48366439,120.9935976,"{4w, 6w, AUV, MC}",0,696,60,08:00-17:00,104,0.0,6.57,82,4w,884.1600000000001,693
R_2023-03-17_20,20,5,70225154,12:50,770,Row_0,1,14.45171668,121.0248915,"{4w, 6w, AUV, MC}",0,770,60,08:00-17:00,50,0.001,7.12,89,4w,884.1600000000001,589
R_2023-03-17_20,20,6,70042874,13:54,834,"Row_3, Row_4",2,14.45744608,121.0338098,"{4w, 6w, AUV, MC}",0,834,60,08:00-17:00,539,0.002,2.16,29,4w,884.1600000000001,539
R_2023-03-17_20,20,7,Depot_End,15:37,937,END,0,14.30953239,121.0973984,{All},0,937,0,Full Day,0,0.0,21.39,0,4w,884.1600000000001,0
