RouteID,VehicleID,VehicleType,Num_Stops,Total_Distance_KM,Total_Duration_Min,Total_Load_KGM,Total_Load_CBM,Capacity_KGM,Capacity_CBM,Util_KGM_%,Util_CBM_%,Fixed_Cost,Variable_Cost,Penalty_Cost,Total_Trip_Cost,Cost_Per_KG,Simple_Route_Sequence
R_2023-01-20_0,0,AUV,8,81.38,643,941,0.004,1000,4.579,94.1,0.1,10,813.8400000000001,0,823.8400000000001,0.88,Depot -> 70382797 -> 70133553 -> 70494791 -> 70019384 -> 70398370 -> 70238985 -> 70126798 -> 70019391 -> Depot
R_2023-01-20_1,1,AUV,8,73.25,627,773,0.005,1000,4.579,77.3,0.1,10,732.47,0,742.47,0.96,Depot -> 70401488 -> 70343296 -> 70043420 -> 70373907 -> 70490240 -> 70464520 -> 70152945 -> 70351598 -> Depot
R_2023-01-20_50,50,6w,7,72.25,563,3158,0.017,7000,21.399,45.1,0.1,20,1011.458,0,1031.458,0.33,Depot -> 70081032 -> 70428043 -> 70019392 -> 70400253 -> 70083842 -> 70435202 -> 70423734 -> Depot
R_2023-01-20_53,53,6w,9,93.43,726,3246,0.013000000000000001,7000,21.399,46.4,0.1,20,1308.076,0,1328.076,0.41,Depot -> 70019315 -> 70130675 -> 70494786 -> 70224398 -> 70224396 -> 70019549 -> 70494785 -> 70398392 -> 70132480 -> Depot
