RouteID,VehicleID,StopOrder,LocationID,ETA,Arrival_Min,List_Order_IDs,Num_Orders,Latitude,Longitude,Allowed_Trucks,Wait_Min,Service_Start_Min,Service_Duration_Min,TimeWindow,Demand_KGM,Demand_CBM,Segment_Dist_KM,Segment_Cost,VehicleType,Route_Total_Cost,Load_On_Board
R_2023-01-16_0,0,0,Depot_Start,06:29,389,START,0,14.30953239,121.0973984,{All},0,389,0,N/A,0,0.0,0.0,0,AUV,961.55,475
R_2023-01-16_0,0,1,70337705,08:00,480,Row_1,1,14.57645321,121.1768653,"{10w, 40ft, 4w, 6w, AUV}",0,480,60,08:00-17:00,90,0.001,45.38,456,AUV,961.55,475
R_2023-01-16_0,0,2,70030492,09:00,540,Row_42,1,14.57633674,121.1773259,"{10w, 40ft, 4w, 6w, AUV}",0,540,60,08:00-17:00,24,0.0,0.07,2,AUV,961.55,385
R_2023-01-16_0,0,3,70286419,10:02,602,Row_15,1,14.57035576,121.1786399,"{10w, 40ft, 4w, 6w, AUV}",0,602,60,08:00-17:00,18,0.0,0.87,10,AUV,961.55,361
R_2023-01-16_0,0,4,70525152,11:06,666,"Row_0, Row_8, Row_13",3,14.58032397,121.1731914,"{10w, 40ft, 4w, 6w, AUV}",0,666,60,08:00-17:00,40,0.0,1.83,20,AUV,961.55,343
R_2023-01-16_0,0,5,70019425,12:16,736,Row_17,1,14.57923238,121.1386665,"{10w, 40ft, 4w, 6w, AUV}",0,736,60,08:00-17:00,204,0.0,5.0,52,AUV,961.55,303
R_2023-01-16_0,0,6,70084418,13:16,796,"Row_37, Row_51",2,14.57964031,121.1380988,"{10w, 40ft, 4w, 6w, AUV}",0,796,60,08:00-17:00,39,0.0,0.09,2,AUV,961.55,99
R_2023-01-16_0,0,7,70019475,14:21,861,"Row_36, Row_46",2,14.56518703,121.1398343,"{4w, 6w, AUV, MC}",0,861,60,08:00-17:00,60,0.001,2.62,28,AUV,961.55,60
R_2023-01-16_0,0,8,Depot_End,16:40,1000,END,0,14.30953239,121.0973984,{All},0,1000,0,Full Day,0,0.0,39.29,0,AUV,961.55,0
R_2023-01-16_1,1,0,Depot_Start,06:31,391,START,0,14.30953239,121.0973984,{All},0,391,0,N/A,0,0.0,0.0,0,AUV,1351.4300000000003,555
R_2023-01-16_1,1,1,70548634,08:00,480,Row_2,1,14.58507461,121.1756311,"{10w, 40ft, 4w, 6w, AUV}",0,480,60,08:00-17:00,360,0.003,44.62,449,AUV,1351.4300000000003,555
R_2023-01-16_1,1,2,70248476,09:44,584,Row_58,1,14.4951024,121.2909781,"{10w, 40ft, 4w, 6w, AUV}",0,584,60,08:00-17:00,98,0.001,21.97,223,AUV,1351.4300000000003,195
R_2023-01-16_1,1,3,70132665,11:19,679,Row_30,1,14.47642017,121.1959103,"{10w, 40ft, 4w, 6w, AUV}",0,679,60,08:00-17:00,46,0.0,17.44,177,AUV,1351.4300000000003,97
R_2023-01-16_1,1,4,70019426,12:35,755,Row_40,1,14.52968055,121.1542452,"{10w, 40ft, 4w, 6w, AUV}",0,755,60,08:00-17:00,5,0.0,7.84,80,AUV,1351.4300000000003,51
R_2023-01-16_1,1,5,70084983,13:35,815,"Row_27, Row_32, Row_41",3,14.53067757,121.154252,"{10w, 40ft, 4w, 6w, AUV}",0,815,60,08:00-17:00,46,0.0,0.12,3,AUV,1351.4300000000003,46
R_2023-01-16_1,1,6,Depot_End,15:59,959,END,0,14.30953239,121.0973984,{All},0,959,0,Full Day,0,0.0,42.15,0,AUV,1351.4300000000003,0
R_2023-01-16_2,2,0,Depot_Start,06:56,416,START,0,14.30953239,121.0973984,{All},0,416,0,N/A,0,0.0,0.0,0,AUV,1041.6599999999999,891
R_2023-01-16_2,2,1,70017459,08:00,480,Row_3,1,14.55488473,121.0133299,"{10w, 40ft, 4w, 6w, AUV}",0,480,60,08:00-16:00,220,0.001,31.89,321,AUV,1041.6599999999999,891
R_2023-01-16_2,2,2,70017437,09:14,554,Row_9,1,14.60213586,121.0365402,"{10w, 40ft, 4w, 6w, AUV}",0,554,60,08:00-16:00,427,0.002,6.85,70,AUV,1041.6599999999999,671
R_2023-01-16_2,2,3,70408272,10:39,639,"Row_7, Row_53",2,14.61711251,121.1349582,"{10w, 40ft, 4w, 6w, AUV}",0,639,60,08:00-17:00,92,0.001,12.5,127,AUV,1041.6599999999999,244
R_2023-01-16_2,2,4,70375866,11:42,702,Row_25,1,14.62586893,121.1247822,"{10w, 40ft, 4w, 6w, AUV}",0,702,60,08:00-17:00,2,0.0,1.65,18,AUV,1041.6599999999999,152
R_2023-01-16_2,2,5,70019482,12:46,766,"Row_12, Row_43",2,14.62292153,121.1106243,"{4w, 6w, AUV, MC}",0,766,60,08:00-17:00,60,0.001,2.02,22,AUV,1041.6599999999999,150
R_2023-01-16_2,2,6,70412170,13:49,829,Row_44,1,14.62271103,121.1022785,"{10w, 40ft, 4w, 6w, AUV}",0,829,60,08:00-17:00,90,0.001,1.73,19,AUV,1041.6599999999999,90
R_2023-01-16_2,2,7,Depot_End,16:22,982,END,0,14.30953239,121.0973984,{All},0,982,0,Full Day,0,0.0,46.52,0,AUV,1041.6599999999999,0
R_2023-01-16_40,40,0,Depot_Start,06:35,395,START,0,14.30953239,121.0973984,{All},0,395,0,N/A,0,0.0,0.0,0,6w,1520.3939999999998,4223
