RouteID,VehicleID,VehicleType,Num_Stops,Total_Distance_KM,Total_Duration_Min,Total_Load_KGM,Total_Load_CBM,Capacity_KGM,Capacity_CBM,Util_KGM_%,Util_CBM_%,Fixed_Cost,Variable_Cost,Penalty_Cost,Total_Trip_Cost,Cost_Per_KG,Simple_Route_Sequence
R_2023-01-23_20,20,4w,8,121.74,722,1925,0.016000000000000004,2000,10.214,96.2,0.2,15,1460.9279999999999,0,1475.9279999999999,0.77,Depot -> 70019375 -> 70019410 -> 70019322 -> 70374983 -> 70450886 -> 70030499 -> 70484079 -> 70396492 -> Depot
R_2023-01-23_21,21,4w,9,109.29,758,1962,0.013000000000000001,2000,10.214,98.1,0.1,15,1311.444,0,1326.444,0.68,Depot -> 70337217 -> 70408272 -> 70375866 -> 70362005 -> 70019554 -> 70019381 -> 70019482 -> 70412170 -> 70019476 -> Depot
R_2023-01-23_41,41,6w,8,138.01,757,2901,0.021,7000,21.399,41.4,0.1,20,1932.1399999999999,0,1952.1399999999999,0.67,Depot -> 70408277 -> 70132665 -> 70248476 -> 70286419 -> 70288587 -> 70337705 -> 70030492 -> 70019425 -> Depot
R_2023-01-23_42,42,6w,9,105.96,752,4325,0.033,7000,21.399,61.8,0.2,20,1483.482,0,1503.482,0.35,Depot -> 70084983 -> 70019426 -> 70084418 -> 70246377 -> 70042197 -> 70347238 -> 70138438 -> 70130674 -> 70361410 -> Depot
R_2023-01-23_100,100,MC,1,78.88,178,134,0.001,150,0.129,89.3,0.8,10,394.39,0,404.39,3.02,Depot -> 70019475 -> Depot
