RouteID,VehicleID,StopOrder,LocationID,ETA,Arrival_Min,List_Order_IDs,Num_Orders,Latitude,Longitude,Allowed_Trucks,Wait_Min,Service_Start_Min,Service_Duration_Min,TimeWindow,Demand_KGM,Demand_CBM,Segment_Dist_KM,Segment_Cost,VehicleType,Route_Total_Cost,Load_On_Board
R_2023-01-11_0,0,0,Depot_Start,06:28,388,START,0,14.30953239,121.0973984,{All},0,388,0,N/A,0,0.0,0.0,0,AUV,984.4999999999999,510
R_2023-01-11_0,0,1,70017600,08:00,480,Row_1,1,14.63846718,121.0942483,"{10w, 40ft, 4w, 6w, AUV}",0,480,20,08:00-17:00,278,0.001,45.81,461,AUV,984.4999999999999,510
R_2023-01-11_0,0,2,70362055,08:45,525,Row_0,1,14.5910118,121.0328409,"{10w, 40ft, 4w, 6w, AUV}",0,525,21,08:00-17:00,232,0.001,12.37,125,AUV,984.4999999999999,232
R_2023-01-11_0,0,3,Depot_End,10:25,625,END,0,14.30953239,121.0973984,{All},0,625,0,Full Day,0,0.0,39.27,0,AUV,984.4999999999999,0
