RouteID,VehicleID,VehicleType,Num_Stops,Total_Distance_KM,Total_Duration_Min,Total_Load_KGM,Total_Load_CBM,Capacity_KGM,Capacity_CBM,Util_KGM_%,Util_CBM_%,Fixed_Cost,Variable_Cost,Penalty_Cost,Total_Trip_Cost,Cost_Per_KG,Simple_Route_Sequence
R_2023-01-13_0,0,AUV,9,97.88,734,825,0.004,1000,4.579,82.5,0.1,10,978.7799999999999,0,988.7799999999999,1.2,Depot -> 70017470 -> 70490240 -> 70373907 -> 70017437 -> 70018486 -> 70084927 -> 70017539 -> 70390799 -> 70019315 -> Depot
R_2023-01-13_28,28,4w,8,78.4,597,1821,0.009000000000000001,2000,10.214,91.0,0.1,15,940.7519999999998,0,955.7519999999998,0.52,Depot -> 70401488 -> 70343296 -> 70043420 -> 70395155 -> 70382797 -> 70430210 -> 70031292 -> 70521405 -> Depot
R_2023-01-13_43,43,6w,9,69.97,640,3877,0.019000000000000003,7000,21.399,55.4,0.1,20,979.51,0,999.51,0.26,Depot -> 70351598 -> 70019395 -> 70017505 -> 70017459 -> 70152945 -> 70083842 -> 70435202 -> 70082414 -> 70155196 -> Depot
