RouteID,VehicleID,StopOrder,LocationID,ETA,Arrival_Min,List_Order_IDs,Num_Orders,Latitude,Longitude,Allowed_Trucks,Wait_Min,Service_Start_Min,Service_Duration_Min,TimeWindow,Demand_KGM,Demand_CBM,Segment_Dist_KM,Segment_Cost,VehicleType,Route_Total_Cost,Load_On_Board
R_2023-01-23_20,20,0,Depot_Start,06:28,388,START,0,14.30953239,121.0973984,{All},0,388,0,N/A,0,0.0,0.0,0,4w,1475.9279999999999,1925
R_2023-01-23_20,20,1,70019375,08:00,480,"Row_20, Row_21",2,14.63224007,121.0938497,"{10w, 40ft, 4w, 6w, AUV}",0,480,60,08:00-17:00,92,0.001,46.09,557,4w,1475.9279999999999,1925
R_2023-01-23_20,20,2,70019410,09:00,540,"Row_4, Row_27",2,14.63290444,121.0951864,"{10w, 40ft, 4w, 6w, AUV}",0,540,60,08:00-17:00,363,0.003,0.19,5,4w,1475.9279999999999,1833
R_2023-01-23_20,20,3,70019322,10:00,600,"Row_24, Row_33",2,14.6325787,121.096125,"{10w, 40ft, 4w, 6w, AUV}",0,600,60,08:00-17:00,471,0.004,0.15,4,4w,1475.9279999999999,1470
R_2023-01-23_20,20,4,70374983,11:04,664,"Row_30, Row_76",2,14.6486277,121.0924717,"{10w, 40ft, 4w, 6w, AUV}",0,664,60,08:00-17:00,93,0.001,2.15,29,4w,1475.9279999999999,999
R_2023-01-23_20,20,5,70450886,12:28,748,"Row_45, Row_59",2,14.73188646,121.1441889,"{10w, 40ft, 4w, 6w, AUV}",0,748,60,08:00-17:00,93,0.001,11.97,147,4w,1475.9279999999999,906
R_2023-01-23_20,20,6,70030499,13:30,810,"Row_43, Row_60",2,14.72984441,121.1378533,"{10w, 40ft, 4w, 6w, AUV}",0,810,60,08:00-17:00,184,0.001,1.25,18,4w,1475.9279999999999,813
R_2023-01-23_20,20,7,70484079,14:52,892,"Row_42, Row_56, Row_61",3,14.6516115,121.101893,"{10w, 40ft, 4w, 6w, AUV}",0,892,60,08:00-17:00,176,0.001,10.95,135,4w,1475.9279999999999,629
R_2023-01-23_20,20,8,70396492,15:55,955,"Row_44, Row_63",2,14.64534642,121.0963252,"{10w, 40ft, 4w, 6w, AUV}",0,955,60,08:00-17:00,453,0.004,1.62,22,4w,1475.9279999999999,453
R_2023-01-23_20,20,9,Depot_End,18:30,1110,END,0,14.30953239,121.0973984,{All},0,1110,0,Full Day,0,0.0,47.37,0,4w,1475.9279999999999,0
R_2023-01-23_21,21,0,Depot_Start,06:22,382,START,0,14.30953239,121.0973984,{All},0,382,0,N/A,0,0.0,0.0,0,4w,1326.444,1962
R_2023-01-23_21,21,1,70337217,08:00,480,"Row_50, Row_55, Row_81",3,14.62500319,121.133485,"{10w, 40ft, 4w, 6w, AUV}",0,480,60,08:00-17:00,73,0.0,49.09,594,4w,1326.444,1962
R_2023-01-23_21,21,2,70408272,09:03,543,"Row_48, Row_77",2,14.61711251,121.1349582,"{10w, 40ft, 4w, 6w, AUV}",0,543,60,08:00-17:00,275,0.002,1.28,18,4w,1326.444,1889
R_2023-01-23_21,21,3,70375866,10:06,606,"Row_32, Row_37",2,14.62586893,121.1247822,"{10w, 40ft, 4w, 6w, AUV}",0,606,60,08:00-17:00,272,0.002,1.65,22,4w,1326.444,1614
R_2023-01-23_21,21,4,70362005,11:10,670,"Row_10, Row_29",2,14.64198544,121.122175,"{10w, 40ft, 4w, 6w, AUV}",0,670,60,08:00-17:00,182,0.001,2.25,30,4w,1326.444,1342
R_2023-01-23_21,21,5,70019554,12:13,733,"Row_0, Row_35, Row_36",3,14.63024693,121.1201218,"{10w, 40ft, 4w, 6w, AUV}",0,733,60,08:00-17:00,176,0.001,1.66,23,4w,1326.444,1160
R_2023-01-23_21,21,6,70019381,13:16,796,"Row_41, Row_53",2,14.62541458,121.1204145,"{10w, 40ft, 4w, 6w, AUV}",0,796,60,08:00-17:00,363,0.003,1.26,18,4w,1326.444,984
R_2023-01-23_21,21,7,70019482,14:19,859,"Row_47, Row_54",2,14.62292153,121.1106243,"{4w, 6w, AUV, MC}",0,859,60,08:00-17:00,31,0.0,1.38,19,4w,1326.444,621
R_2023-01-23_21,21,8,70412170,15:22,922,"Row_6, Row_26, Row_75",3,14.62271103,121.1022785,"{10w, 40ft, 4w, 6w, AUV}",0,922,60,08:00-17:00,318,0.002,1.73,23,4w,1326.444,590
R_2023-01-23_21,21,9,70019476,16:25,985,"Row_16, Row_25",2,14.63174178,121.0961807,"{10w, 40ft, 4w, 6w, AUV}",0,985,60,08:00-17:00,272,0.002,1.53,21,4w,1326.444,272
R_2023-01-23_21,21,10,Depot_End,19:00,1140,END,0,14.30953239,121.0973984,{All},0,1140,0,Full Day,0,0.0,47.46,0,4w,1326.444,0
R_2023-01-23_41,41,0,Depot_Start,06:23,383,START,0,14.30953239,121.0973984,{All},0,383,0,N/A,0,0.0,0.0,0,6w,1952.1399999999999,2901
R_2023-01-23_41,41,1,70408277,08:00,480,"Row_7, Row_13",2,14.48186005,121.1872024,"{10w, 40ft, 4w, 6w, AUV}",0,480,60,08:00-17:00,182,0.001,48.26,683,6w,1952.1399999999999,2901
R_2023-01-23_41,41,2,70132665,09:02,542,"Row_8, Row_18, Row_22",3,14.47642017,121.1959103,"{10w, 40ft, 4w, 6w, AUV}",0,542,60,08:00-17:00,199,0.001,1.19,21,6w,1952.1399999999999,2719
R_2023-01-23_41,41,3,70248476,10:37,637,"Row_39, Row_46",2,14.4951024,121.2909781,"{10w, 40ft, 4w, 6w, AUV}",0,637,60,08:00-17:00,363,0.003,17.3,250,6w,1952.1399999999999,2520
R_2023-01-23_41,41,4,70286419,12:22,742,"Row_52, Row_79",2,14.57035576,121.1786399,"{10w, 40ft, 4w, 6w, AUV}",0,742,60,08:00-17:00,200,0.002,22.7,326,6w,1952.1399999999999,2157
R_2023-01-23_41,41,5,70288587,13:23,803,Row_58,1,14.57178191,121.1785415,"{10w, 40ft, 4w, 6w, AUV}",0,803,60,08:00-17:00,90,0.001,0.27,8,6w,1952.1399999999999,1957
R_2023-01-23_41,41,6,70337705,14:25,865,"Row_49, Row_78",2,14.57645321,121.1768653,"{10w, 40ft, 4w, 6w, AUV}",0,865,60,08:00-17:00,441,0.002,0.77,15,6w,1952.1399999999999,1867
R_2023-01-23_41,41,7,70030492,15:25,925,"Row_40, Row_51",2,14.57633674,121.1773259,"{10w, 40ft, 4w, 6w, AUV}",0,925,60,08:00-17:00,848,0.007,0.07,6,6w,1952.1399999999999,1426
R_2023-01-23_41,41,8,70019425,16:37,997,"Row_12, Row_66",2,14.57923238,121.1386665,"{10w, 40ft, 4w, 6w, AUV}",0,997,60,08:00-17:00,578,0.004,5.88,88,6w,1952.1399999999999,578
R_2023-01-23_41,41,9,Depot_End,19:00,1140,END,0,14.30953239,121.0973984,{All},0,1140,0,Full Day,0,0.0,41.56,0,6w,1952.1399999999999,0
R_2023-01-23_42,42,0,Depot_Start,06:37,397,START,0,14.30953239,121.0973984,{All},0,397,0,N/A,0,0.0,0.0,0,6w,1503.482,4325
R_2023-01-23_42,42,1,70084983,08:00,480,"Row_15, Row_28",2,14.53067757,121.154252,"{10w, 40ft, 4w, 6w, AUV}",0,480,60,08:00-17:00,561,0.004,41.53,588,6w,1503.482,4325
R_2023-01-23_42,42,2,70019426,09:00,540,Row_23,1,14.52968055,121.1542452,"{10w, 40ft, 4w, 6w, AUV}",0,540,60,08:00-17:00,5,0.0,0.12,6,6w,1503.482,3764
R_2023-01-23_42,42,3,70084418,10:13,613,"Row_3, Row_38, Row_69",3,14.57964031,121.1380988,"{10w, 40ft, 4w, 6w, AUV}",0,613,60,08:00-17:00,753,0.006,6.75,100,6w,1503.482,3759
R_2023-01-23_42,42,4,70246377,11:13,673,"Row_31, Row_57, Row_68, Row_72",4,14.57956464,121.1372932,"{10w, 40ft, 4w, 6w, AUV}",0,673,60,08:00-17:00,315,0.003,0.09,6,6w,1503.482,3006
R_2023-01-23_42,42,5,70042197,12:16,736,"Row_1, Row_65",2,14.58394216,121.123774,"{10w, 40ft, 4w, 6w, AUV}",0,736,60,08:00-17:00,273,0.002,1.55,26,6w,1503.482,2691
R_2023-01-23_42,42,6,70347238,13:16,796,"Row_34, Row_62",2,14.58424845,121.123968,"{10w, 40ft, 4w, 6w, AUV}",0,796,60,08:00-17:00,273,0.002,0.04,5,6w,1503.482,2418
R_2023-01-23_42,42,7,70138438,14:24,864,"Row_5, Row_64, Row_70, Row_73",4,14.60442645,121.1060491,"{10w, 40ft, 4w, 6w, AUV}",0,864,60,08:00-17:00,809,0.006,3.79,58,6w,1503.482,2145
R_2023-01-23_42,42,8,70130674,15:34,934,"Row_2, Row_14, Row_80",3,14.62594348,121.0844611,"{10w, 40ft, 4w, 6w, AUV}",0,934,60,08:00-17:00,994,0.008,5.01,75,6w,1503.482,1336
R_2023-01-23_42,42,9,70361410,16:48,1008,"Row_9, Row_17, Row_19",3,14.60243889,121.0498676,"{10w, 40ft, 4w, 6w, AUV}",0,1008,60,08:00-17:00,342,0.002,6.78,101,6w,1503.482,342
R_2023-01-23_42,42,10,Depot_End,19:09,1149,END,0,14.30953239,121.0973984,{All},0,1149,0,Full Day,0,0.0,40.31,0,6w,1503.482,0
R_2023-01-23_100,100,0,Depot_Start,07:01,421,START,0,14.30953239,121.0973984,{All},0,421,0,N/A,0,0.0,0.0,0,MC,404.39,134
R_2023-01-23_100,100,1,70019475,08:00,480,"Row_11, Row_67, Row_71, Row_74",4,14.56518703,121.1398343,"{4w, 6w, AUV, MC}",0,480,60,08:00-17:00,134,0.001,39.58,198,MC,404.39,134
R_2023-01-23_100,100,2,Depot_End,09:59,599,END,0,14.30953239,121.0973984,{All},0,599,0,Full Day,0,0.0,39.29,0,MC,404.39,0
