RouteID,VehicleID,StopOrder,LocationID,ETA,Arrival_Min,List_Order_IDs,Num_Orders,Latitude,Longitude,Allowed_Trucks,Wait_Min,Service_Start_Min,Service_Duration_Min,TimeWindow,Demand_KGM,Demand_CBM,Segment_Dist_KM,Segment_Cost,VehicleType,Route_Total_Cost,Load_On_Board
R_2023-01-09_20,20,0,Depot_Start,06:07,367,START,0,14.30953239,121.0973984,{All},0,367,0,N/A,0,0.0,0.0,0,4w,1520.6999999999998,1714
R_2023-01-09_20,20,1,70521396,08:00,480,Row_1,1,14.69709232,121.1221925,"{10w, 40ft, 4w, 6w, AUV}",0,480,60,08:00-17:00,477,0.001,56.51,683,4w,1520.6999999999998,1714
R_2023-01-09_20,20,2,70548634,09:45,585,Row_0,1,14.58507461,121.1756311,"{10w, 40ft, 4w, 6w, AUV}",0,585,60,08:00-17:00,729,0.002,22.66,277,4w,1520.6999999999998,1237
R_2023-01-09_20,20,3,70525152,10:47,647,"Row_2, Row_3",2,14.58032397,121.1731914,"{10w, 40ft, 4w, 6w, AUV}",0,647,60,08:00-17:00,508,0.002,1.01,15,4w,1520.6999999999998,508
R_2023-01-09_20,20,4,Depot_End,13:18,798,END,0,14.30953239,121.0973984,{All},0,798,0,Full Day,0,0.0,45.3,0,4w,1520.6999999999998,0
