RouteID,VehicleID,StopOrder,LocationID,ETA,Arrival_Min,List_Order_IDs,Num_Orders,Latitude,Longitude,Allowed_Trucks,Wait_Min,Service_Start_Min,Service_Duration_Min,TimeWindow,Demand_KGM,Demand_CBM,Segment_Dist_KM,Segment_Cost,VehicleType,Route_Total_Cost,Load_On_Board
R_2023-01-13_0,0,0,Depot_Start,06:52,412,START,0,14.30953239,121.0973984,{All},0,412,0,N/A,0,0.0,0.0,0,AUV,988.7799999999999,825
R_2023-01-13_0,0,1,70017470,08:00,480,"Row_3, Row_41",2,14.56348294,121.0174927,"{10w, 40ft, 4w, 6w, AUV}",0,480,60,08:00-17:00,15,0.0,34.03,342,AUV,988.7799999999999,825
R_2023-01-13_0,0,2,70490240,09:02,542,Row_40,1,14.56703057,121.011453,"{10w, 40ft, 4w, 6w, AUV}",0,542,60,08:00-17:00,46,0.0,1.22,14,AUV,988.7799999999999,810
R_2023-01-13_0,0,3,70373907,10:05,605,Row_12,1,14.57385178,121.0192672,"{10w, 40ft, 4w, 6w, AUV}",0,605,60,08:00-17:00,22,0.0,1.59,18,AUV,988.7799999999999,764
R_2023-01-13_0,0,4,70017437,11:15,675,Row_36,1,14.60213586,121.0365402,"{10w, 40ft, 4w, 6w, AUV}",0,675,60,08:00-16:00,3,0.0,4.78,50,AUV,988.7799999999999,742
R_2023-01-13_0,0,5,70018486,12:25,745,Row_0,1,14.62798652,121.068201,"{10w, 40ft, 4w, 6w, AUV}",0,745,60,08:00-17:00,5,0.0,5.0,52,AUV,988.7799999999999,739
R_2023-01-13_0,0,6,70084927,13:36,816,"Row_30, Row_45, Row_46",3,14.60224359,121.0470067,"{10w, 40ft, 4w, 6w, AUV}",0,816,60,08:00-16:00,226,0.002,5.62,58,AUV,988.7799999999999,734
R_2023-01-13_0,0,7,70017539,14:42,882,"Row_4, Row_20",2,14.59052169,121.0690191,"{10w, 40ft, 4w, 6w, AUV}",0,882,60,08:00-16:00,232,0.001,3.15,33,AUV,988.7799999999999,508
R_2023-01-13_0,0,8,70390799,15:51,951,Row_19,1,14.57404122,121.0478496,"{10w, 40ft, 4w, 6w, AUV}",0,951,60,08:00-17:00,230,0.001,4.63,48,AUV,988.7799999999999,276
R_2023-01-13_0,0,9,70019315,16:55,1015,Row_9,1,14.56515049,121.0459705,"{10w, 40ft, 4w, 6w, AUV}",0,1015,60,08:00-17:00,46,0.0,2.19,24,AUV,988.7799999999999,46
R_2023-01-13_0,0,10,Depot_End,19:06,1146,END,0,14.30953239,121.0973984,{All},0,1146,0,Full Day,0,0.0,35.65,0,AUV,988.7799999999999,0
R_2023-01-13_28,28,0,Depot_Start,06:55,415,START,0,14.30953239,121.0973984,{All},0,415,0,N/A,0,0.0,0.0,0,4w,955.7519999999998,1821
R_2023-01-13_28,28,1,70401488,08:00,480,"Row_11, Row_13",2,14.55372651,121.0259834,"{10w, 40ft, 4w, 6w, AUV}",0,480,60,08:00-17:00,173,0.0,32.26,390,4w,955.7519999999998,1821
R_2023-01-13_28,28,2,70343296,09:02,542,Row_18,1,14.5622009,121.0282218,"{10w, 40ft, 4w, 6w, AUV}",0,542,60,08:00-17:00,2,0.0,1.12,16,4w,955.7519999999998,1648
R_2023-01-13_28,28,3,70043420,10:03,603,Row_22,1,14.56539821,121.0276651,"{10w, 40ft, 4w, 6w, AUV}",0,603,60,08:00-17:00,46,0.0,0.49,8,4w,955.7519999999998,1646
R_2023-01-13_28,28,4,70395155,11:12,672,"Row_24, Row_26, Row_27, Row_28, Row_47",5,14.55540859,121.055598,"{10w, 40ft, 4w, 6w, AUV}",0,672,20,08:00-17:00,724,0.003,4.61,58,4w,955.7519999999998,1600
R_2023-01-13_28,28,5,70382797,11:37,697,"Row_35, Row_37",2,14.54644879,121.064459,"{10w, 40ft, 4w, 6w, AUV}",0,697,60,08:00-17:00,226,0.001,2.6,32,4w,955.7519999999998,876
R_2023-01-13_28,28,6,70430210,12:44,764,Row_49,1,14.52807804,121.0740454,"{10w, 40ft, 4w, 6w, AUV}",0,764,60,08:00-17:00,4,0.0,3.25,42,4w,955.7519999999998,650
R_2023-01-13_28,28,7,70031292,13:49,829,"Row_21, Row_25, Row_43",3,14.52121107,121.0656736,"{10w, 40ft, 4w, 6w, AUV}",0,829,60,08:00-17:00,41,0.0,2.45,32,4w,955.7519999999998,646
R_2023-01-13_28,28,8,70521405,15:03,903,"Row_23, Row_31",2,14.48093231,121.0459837,"{10w, 40ft, 4w, 6w, AUV}",0,903,60,08:00-17:00,605,0.005,6.92,86,4w,955.7519999999998,605
R_2023-01-13_28,28,9,Depot_End,16:52,1012,END,0,14.30953239,121.0973984,{All},0,1012,0,Full Day,0,0.0,24.68,0,4w,955.7519999999998,0
R_2023-01-13_43,43,0,Depot_Start,06:57,417,START,0,14.30953239,121.0973984,{All},0,417,0,N/A,0,0.0,0.0,0,6w,999.51,3877
