RouteID,VehicleID,VehicleType,StopOrder,LocationID,ETA,ETD,TimeWindow,Demand_KGM,Segment_Dist_KM,Wait_Min,Load_On_Board_KG
R_1-16-2023_0,6w_0,6w,1,70138438,08:00,09:00,08:00-17:00,774.0,44.99,0,4588.136
R_1-16-2023_0,6w_0,6w,2,70521396,09:25,10:25,08:00-17:00,48.136,12.53,0,3814.1360000000004
R_1-16-2023_0,6w_0,6w,3,70450886,10:35,11:35,08:00-17:00,787.0,4.97,0,3766.0000000000005
R_1-16-2023_0,6w_0,6w,4,70030499,11:37,12:37,08:00-17:00,684.0,1.25,0,2979.0000000000005
R_1-16-2023_0,6w_0,6w,5,70019322,13:05,14:05,08:00-17:00,631.0,13.76,0,2295.0000000000005
R_1-16-2023_0,6w_0,6w,6,70130674,14:11,15:11,08:00-17:00,628.0,3.33,0,1664.0000000000005
R_1-16-2023_0,6w_0,6w,7,70017539,15:25,16:25,08:00-16:00,1036.0,7.03,0,1036.0000000000005
R_1-16-2023_1,4w_1,4w,1,70017459,08:00,09:00,08:00-16:00,220.0,31.89,0,1777.509
R_1-16-2023_1,4w_1,4w,2,70017437,09:13,10:13,08:00-16:00,427.0,6.85,0,1557.509
R_1-16-2023_1,4w_1,4w,3,70347238,10:35,11:35,08:00-17:00,556.0,11.1,0,1130.509
R_1-16-2023_1,4w_1,4w,4,70042197,11:35,12:35,08:00-17:00,271.509,0.04,0,574.509
R_1-16-2023_1,4w_1,4w,5,70019425,12:40,13:40,08:00-17:00,204.0,2.03,0,303.0
R_1-16-2023_1,4w_1,4w,6,70084418,13:40,14:40,08:00-17:00,39.0,0.09,0,99.0
R_1-16-2023_1,4w_1,4w,7,70019475,14:45,15:45,08:00-17:00,60.0,2.62,0,60.0
R_1-16-2023_2,AUV_2,AUV,1,70337217,08:00,09:00,08:00-17:00,408.0,49.09,0,909.11
R_1-16-2023_2,AUV_2,AUV,2,70375866,09:02,10:02,08:00-17:00,1.11,1.1,0,501.11
R_1-16-2023_2,AUV_2,AUV,3,70019482,10:06,11:06,08:00-17:00,60.0,2.02,0,500.0
R_1-16-2023_2,AUV_2,AUV,4,70412170,11:09,12:09,08:00-17:00,90.0,1.73,0,440.0
R_1-16-2023_2,AUV_2,AUV,5,70019476,12:12,13:12,08:00-17:00,36.0,1.53,0,350.0
R_1-16-2023_2,AUV_2,AUV,6,70019375,13:13,14:13,08:00-17:00,12.0,0.59,0,314.0
R_1-16-2023_2,AUV_2,AUV,7,70019410,14:14,15:14,08:00-17:00,98.0,0.19,0,302.0
R_1-16-2023_2,AUV_2,AUV,8,70374983,15:18,16:18,08:00-17:00,204.0,2.3,0,204.0
R_1-16-2023_3,AUV_3,AUV,1,70084983,08:00,09:00,08:00-17:00,46.0,41.53,0,617.503
R_1-16-2023_3,AUV_3,AUV,2,70019426,09:00,10:00,08:00-17:00,4.158,0.12,0,571.503
R_1-16-2023_3,AUV_3,AUV,3,70132665,10:15,11:15,08:00-17:00,46.0,7.85,0,567.345
R_1-16-2023_3,AUV_3,AUV,4,70248476,11:50,12:50,08:00-17:00,98.0,17.3,0,521.345
R_1-16-2023_3,AUV_3,AUV,5,70525152,13:34,14:34,08:00-17:00,39.345,22.01,0,423.345
R_1-16-2023_3,AUV_3,AUV,6,70030492,14:36,15:36,08:00-17:00,24.0,0.88,0,384.0
R_1-16-2023_3,AUV_3,AUV,7,70548634,15:39,16:39,08:00-17:00,360.0,1.46,0,360.0
R_1-16-2023_4,AUV_4,AUV,1,70396492,08:00,09:00,08:00-17:00,42.0,46.64,0,881.1379999999999
R_1-16-2023_4,AUV_4,AUV,2,70484079,09:03,10:03,08:00-17:00,127.006,1.62,0,839.1379999999999
R_1-16-2023_4,AUV_4,AUV,3,70019554,10:12,11:12,08:00-17:00,513.0,4.86,0,712.132
R_1-16-2023_4,AUV_4,AUV,4,70408272,11:21,12:21,08:00-17:00,91.132,4.22,0,199.13199999999995
R_1-16-2023_4,AUV_4,AUV,5,70337705,12:40,13:40,08:00-17:00,90.0,9.75,0,107.99999999999994
R_1-16-2023_4,AUV_4,AUV,6,70286419,13:42,14:42,08:00-17:00,18.0,0.8,0,17.999999999999943
