RouteID,VehicleID,VehicleType,StopOrder,LocationID,ETA,ETD,TimeWindow,Demand_KGM,Segment_Dist_KM,Wait_Min,Load_On_Board_KG
R_1-20-2023_0,4w_0,4w,1,70423734,08:00,09:00,08:00-17:00,55.347,30.64,0,1906.767
R_1-20-2023_0,4w_0,4w,2,70351598,09:03,10:03,08:00-17:00,92.961,1.92,0,1851.42
R_1-20-2023_0,4w_0,4w,3,70152945,10:05,11:05,08:00-17:00,20.928,0.85,0,1758.459
R_1-20-2023_0,4w_0,4w,4,70464520,11:08,12:08,08:00-17:00,49.38,1.52,0,1737.531
R_1-20-2023_0,4w_0,4w,5,70435202,12:14,13:14,08:00-17:00,502.151,3.0,0,1688.1509999999998
R_1-20-2023_0,4w_0,4w,6,70400253,13:22,14:22,08:00-17:00,185.0,3.82,0,1185.9999999999998
R_1-20-2023_0,4w_0,4w,7,70019392,14:25,15:25,08:00-17:00,221.0,1.63,0,1000.9999999999998
R_1-20-2023_0,4w_0,4w,8,70081032,15:37,16:37,08:00-17:00,780.0,5.9,0,779.9999999999998
R_1-20-2023_1,AUV_1,AUV,1,70019315,08:00,09:00,08:00-17:00,181.623,34.26,0,979.2750000000001
R_1-20-2023_1,AUV_1,AUV,2,70130675,09:03,10:03,08:00-17:00,424.0,1.72,0,797.652
R_1-20-2023_1,AUV_1,AUV,3,70398370,10:07,11:07,08:00-17:00,46.0,1.98,0,373.65200000000004
R_1-20-2023_1,AUV_1,AUV,4,70126798,11:10,12:10,08:00-17:00,54.0,1.38,0,327.65200000000004
R_1-20-2023_1,AUV_1,AUV,5,70373907,12:20,13:20,08:00-17:00,182.305,5.18,0,273.65200000000004
R_1-20-2023_1,AUV_1,AUV,6,70490240,13:23,14:23,08:00-17:00,91.347,1.47,0,91.34700000000004
R_1-20-2023_2,4w_2,4w,1,70428043,08:00,09:00,08:00-17:00,451.0,27.57,0,1992.2060000000001
R_1-20-2023_2,4w_2,4w,2,70133553,09:10,10:10,08:00-17:00,54.0,5.34,0,1541.2060000000001
R_1-20-2023_2,4w_2,4w,3,70382797,10:12,11:12,08:00-17:00,453.206,0.87,0,1487.2060000000001
R_1-20-2023_2,4w_2,4w,4,70224398,11:28,12:28,08:00-17:00,200.0,8.14,0,1034.0
R_1-20-2023_2,4w_2,4w,5,70224396,12:29,13:29,08:00-17:00,400.0,0.26,0,834.0
R_1-20-2023_2,4w_2,4w,6,70494785,13:37,14:37,08:00-17:00,112.0,4.12,0,434.0
R_1-20-2023_2,4w_2,4w,7,70019549,14:37,15:37,08:00-17:00,136.0,0.13,0,322.0
R_1-20-2023_2,4w_2,4w,8,70398392,15:47,16:47,08:00-17:00,116.0,5.12,0,186.0
R_1-20-2023_2,4w_2,4w,9,70494791,16:54,17:54,08:00-17:00,70.0,3.2,0,70.0
R_1-20-2023_3,6w_3,6w,1,70083842,08:00,09:00,08:00-17:00,961.993,31.93,0,3233.616
R_1-20-2023_3,6w_3,6w,2,70401488,09:01,10:01,08:00-17:00,2.691,0.87,0,2271.623
R_1-20-2023_3,6w_3,6w,3,70343296,10:03,11:03,08:00-17:00,183.436,1.12,0,2268.9320000000002
R_1-20-2023_3,6w_3,6w,4,70043420,11:04,12:04,08:00-17:00,146.626,0.49,0,2085.496
R_1-20-2023_3,6w_3,6w,5,70019391,12:09,13:09,08:00-17:00,124.0,2.31,0,1938.8700000000001
R_1-20-2023_3,6w_3,6w,6,70238985,13:14,14:14,08:00-17:00,27.0,2.42,0,1814.8700000000001
R_1-20-2023_3,6w_3,6w,7,70019384,14:19,15:19,08:00-17:00,112.0,2.34,0,1787.8700000000001
R_1-20-2023_3,6w_3,6w,8,70132480,15:24,16:24,08:00-17:00,1051.87,2.75,0,1675.8700000000001
R_1-20-2023_3,6w_3,6w,9,70494786,16:31,17:31,08:00-17:00,624.0,3.24,0,624.0000000000002
