RouteID,VehicleID,VehicleType,Departure_From_Depot,Arrival_Back_Depot,Num_Stops,Total_Distance_KM,Total_Duration_Min,Total_Load_KGM,Capacity_KGM,Util_KGM_%,Total_Trip_Cost
R_1-16-2023_0,6w_0,6w,06:30,17:45,7,127.67,675.3,4588.136,7000.0,81.6,1896.0
R_1-16-2023_1,4w_1,4w,06:56,17:04,7,93.9,607.8,1777.509,2000.0,88.9,1193.0
R_1-16-2023_2,AUV_2,AUV,06:21,17:54,8,106.37,692.7,909.11,1000.0,97.5,1110.0
R_1-16-2023_3,AUV_3,AUV,06:36,18:10,7,136.6,693.2,617.503,1000.0,97.4,1412.0
R_1-16-2023_4,AUV_4,AUV,06:26,16:16,6,114.74,589.5,881.1379999999999,1000.0,93.7,1190.0
