RouteID,VehicleID,VehicleType,Departure_From_Depot,Arrival_Back_Depot,Num_Stops,Total_Distance_KM,Total_Duration_Min,Total_Load_KGM,Capacity_KGM,Util_KGM_%,Total_Trip_Cost
R_1-23-2023_0,AUV_0,AUV,06:25,14:26,4,120.24,480.5,543.5300000000001,1000.0,87.8,1241.0
R_1-23-2023_1,6w_1,6w,06:27,16:58,7,105.33,630.7,2665.603,7000.0,98.3,1579.0
R_1-23-2023_2,6w_2,6w,06:41,17:00,7,99.5,619.0,2710.851,7000.0,99.8,1498.0
R_1-23-2023_3,6w_3,6w,06:23,18:57,8,137.16,754.3,2453.341,7000.0,84.3,2035.0
R_1-23-2023_4,6w_4,6w,06:36,19:20,9,111.9,763.8,2853.544,7000.0,93.7,1683.0
