RouteID,VehicleID,VehicleType,StopOrder,LocationID,ETA,ETD,TimeWindow,Demand_KGM,Segment_Dist_KM,Wait_Min,Load_On_Board_KG
R_1-23-2023_0,AUV_0,AUV,1,70374983,08:00,09:00,08:00-17:00,92.615,47.08,0,543.5300000000001
R_1-23-2023_0,AUV_0,AUV,2,70450886,09:23,10:23,08:00-17:00,92.161,11.97,0,450.9150000000001
R_1-23-2023_0,AUV_0,AUV,3,70030499,10:26,11:26,08:00-17:00,183.342,1.25,0,358.7540000000001
R_1-23-2023_0,AUV_0,AUV,4,70484079,11:48,12:48,08:00-17:00,175.412,10.95,0,175.41200000000006
R_1-23-2023_1,6w_1,6w,1,70019322,08:00,09:00,08:00-17:00,470.038,46.02,0,2665.603
R_1-23-2023_1,6w_1,6w,2,70396492,09:03,10:03,08:00-17:00,452.177,1.71,0,2195.565
R_1-23-2023_1,6w_1,6w,3,70362005,10:11,11:11,08:00-17:00,181.361,3.93,0,1743.388
R_1-23-2023_1,6w_1,6w,4,70019554,11:14,12:14,08:00-17:00,175.834,1.66,0,1562.027
R_1-23-2023_1,6w_1,6w,5,70019381,12:17,13:17,08:00-17:00,362.178,1.26,0,1386.193
R_1-23-2023_1,6w_1,6w,6,70019482,13:19,14:19,08:00-17:00,30.384,1.38,0,1024.0149999999999
R_1-23-2023_1,6w_1,6w,7,70130674,14:27,15:27,08:00-17:00,993.631,3.87,0,993.6309999999999
R_1-23-2023_2,6w_2,6w,1,70361410,08:00,09:00,08:00-17:00,341.067,39.43,0,2710.851
R_1-23-2023_2,6w_2,6w,2,70019375,09:16,10:16,08:00-17:00,91.463,8.28,0,2369.784
R_1-23-2023_2,6w_2,6w,3,70019410,10:16,11:16,08:00-17:00,362.701,0.19,0,2278.321
R_1-23-2023_2,6w_2,6w,4,70019476,11:18,12:18,08:00-17:00,271.38,0.69,0,1915.62
R_1-23-2023_2,6w_2,6w,5,70019425,12:37,13:37,08:00-17:00,577.528,9.4,0,1644.2399999999998
R_1-23-2023_2,6w_2,6w,6,70084418,13:37,14:37,08:00-17:00,752.575,0.09,0,1066.7119999999998
R_1-23-2023_2,6w_2,6w,7,70246377,14:37,15:37,08:00-17:00,314.137,0.09,0,314.1369999999997
R_1-23-2023_3,6w_3,6w,1,70408277,08:00,09:00,08:00-17:00,181.032,48.26,0,2453.341
R_1-23-2023_3,6w_3,6w,2,70132665,09:02,10:02,08:00-17:00,198.131,1.19,0,2272.3089999999997
R_1-23-2023_3,6w_3,6w,3,70248476,10:36,11:36,08:00-17:00,362.582,17.3,0,2074.178
R_1-23-2023_3,6w_3,6w,4,70337705,12:20,13:20,08:00-17:00,441.0,21.98,0,1711.596
R_1-23-2023_3,6w_3,6w,5,70030492,13:21,14:21,08:00-17:00,847.409,0.07,0,1270.596
R_1-23-2023_3,6w_3,6w,6,70288587,14:22,15:22,08:00-17:00,90.0,0.85,0,423.187
R_1-23-2023_3,6w_3,6w,7,70286419,15:23,16:23,08:00-17:00,199.969,0.23,0,333.187
R_1-23-2023_3,6w_3,6w,8,70019475,16:39,17:39,08:00-17:00,133.218,7.98,0,133.21800000000002
R_1-23-2023_4,6w_4,6w,1,70019426,08:00,09:00,08:00-17:00,4.136,41.55,0,2853.544
R_1-23-2023_4,6w_4,6w,2,70084983,09:00,10:00,08:00-17:00,560.152,0.12,0,2849.408
R_1-23-2023_4,6w_4,6w,3,70042197,10:16,11:16,08:00-17:00,272.606,8.34,0,2289.256
R_1-23-2023_4,6w_4,6w,4,70347238,11:17,12:17,08:00-17:00,272.359,0.04,0,2016.6499999999999
R_1-23-2023_4,6w_4,6w,5,70138438,12:24,13:24,08:00-17:00,808.479,3.79,0,1744.291
R_1-23-2023_4,6w_4,6w,6,70337217,13:35,14:35,08:00-17:00,72.493,5.63,0,935.8119999999999
R_1-23-2023_4,6w_4,6w,7,70408272,14:38,15:38,08:00-17:00,274.214,1.28,0,863.319
R_1-23-2023_4,6w_4,6w,8,70375866,15:41,16:41,08:00-17:00,271.544,1.65,0,589.105
R_1-23-2023_4,6w_4,6w,9,70412170,16:47,17:47,08:00-17:00,317.561,2.97,0,317.56100000000004
