RouteID,VehicleID,VehicleType,StopOrder,LocationID,ETA,ETD,TimeWindow,Demand_KGM,Segment_Dist_KM,Wait_Min,Load_On_Board_KG
R_3-16-2023_0,4w_0,4w,1,70019420,08:00,09:00,08:00-17:00,746.0,25.89,0.0,1946.0
R_3-16-2023_0,4w_0,4w,2,70030496,09:21,10:21,08:00-17:00,139.0,10.52,0.0,1200.0
R_3-16-2023_0,4w_0,4w,3,70019480,10:35,11:35,08:00-17:00,50.0,7.22,0.0,1061.0
R_3-16-2023_0,4w_0,4w,4,70587572,11:55,12:25,08:00-17:00,162.0,9.99,0.0,1011.0
R_3-16-2023_0,4w_0,4w,5,70225158,12:40,13:40,08:00-17:00,250.0,7.26,0.0,849.0
R_3-16-2023_0,4w_0,4w,6,70130197,13:42,14:42,08:00-17:00,27.0,1.36,0.0,599.0
R_3-16-2023_0,4w_0,4w,7,70019429,14:53,15:53,08:00-17:00,522.0,5.33,0.0,572.0
R_3-16-2023_0,4w_0,4w,8,70019455,16:11,17:11,08:00-17:00,50.0,9.26,0.0,50.0
R_3-16-2023_1,4w_1,4w,1,70030840,09:00,09:21,09:00-12:00,50.0,47.47,0.0,1651.0
R_3-16-2023_1,4w_1,4w,2,70494781,09:27,09:48,09:00-16:00,27.0,3.35,0.0,1601.0
R_3-16-2023_1,4w_1,4w,3,70019529,10:02,10:23,07:00-21:00,110.0,6.79,0.0,1574.0
R_3-16-2023_1,4w_1,4w,4,70019327,10:25,10:46,08:00-17:00,28.0,1.05,0.0,1464.0
R_3-16-2023_1,4w_1,4w,5,70019304,10:52,11:13,10:00-12:00,139.0,3.07,0.0,1436.0
R_3-16-2023_1,4w_1,4w,6,70019305,11:13,11:34,10:00-14:00,201.0,0.0,0.0,1297.0
R_3-16-2023_1,4w_1,4w,7,70405783,11:47,12:08,09:00-16:00,50.0,6.37,0.0,1096.0
R_3-16-2023_1,4w_1,4w,8,70464553,12:11,12:32,09:00-16:00,162.0,1.49,0.0,1046.0
R_3-16-2023_1,4w_1,4w,9,70422303,12:36,12:57,10:00-15:00,112.0,2.35,0.0,884.0
R_3-16-2023_1,4w_1,4w,10,70494784,13:00,13:21,09:00-16:00,50.0,1.49,0.0,772.0
R_3-16-2023_1,4w_1,4w,11,70081671,13:47,14:08,10:00-17:00,50.0,12.55,0.0,722.0
R_3-16-2023_1,4w_1,4w,12,70019508,14:26,15:26,08:00-17:00,27.0,9.32,0.0,672.0
R_3-16-2023_1,4w_1,4w,13,70574708,15:30,16:30,08:00-17:00,244.0,1.69,0.0,645.0
