RouteID,VehicleID,VehicleType,StopOrder,LocationID,ETA,ETD,TimeWindow,Demand_KGM,Segment_Dist_KM,Wait_Min,Load_On_Board_KG
R_3-27-2023_0,AUV_0,AUV,1,70030492,08:00,09:00,08:00-17:00,50.0,45.45,0,324.0
R_3-27-2023_0,AUV_0,AUV,2,70494788,09:28,10:28,08:00-17:00,50.0,14.25,0,274.0
R_3-27-2023_0,AUV_0,AUV,3,70132663,10:44,11:44,08:00-17:00,62.0,7.8,0,224.0
R_3-27-2023_0,AUV_0,AUV,4,70084418,12:15,13:15,08:00-17:00,62.0,15.47,0,162.0
R_3-27-2023_0,AUV_0,AUV,5,70019475,13:20,14:20,08:00-17:00,50.0,2.62,0,100.0
R_3-27-2023_0,AUV_0,AUV,6,70084983,14:29,15:29,08:00-17:00,50.0,4.61,0,50.0
