RouteID,VehicleID,VehicleType,StopOrder,LocationID,ETA,ETD,TimeWindow,Demand_KGM,Segment_Dist_KM,Wait_Min,Load_On_Board_KG
R_3-17-2023_0,4w_0,4w,1,70155196,08:00,09:00,08:00-17:00,100.0,23.89,0,1037.0
R_3-17-2023_0,4w_0,4w,2,70137842,09:01,10:01,08:00-17:00,50.0,0.97,0,937.0
R_3-17-2023_0,4w_0,4w,3,70423736,10:22,11:22,08:00-17:00,194.0,10.34,0,887.0
R_3-17-2023_0,4w_0,4w,4,70019328,11:35,12:35,08:00-17:00,104.0,6.57,0,693.0
R_3-17-2023_0,4w_0,4w,5,70225154,12:49,13:49,08:00-17:00,50.0,7.12,0,589.0
R_3-17-2023_0,4w_0,4w,6,70042874,13:54,14:54,08:00-17:00,539.0,2.16,0,539.0
