RouteID,VehicleID,VehicleType,StopOrder,LocationID,ETA,ETD,TimeWindow,Demand_KGM,Segment_Dist_KM,Wait_Min,Load_On_Board_KG
R_1-13-2023_0,AUV_0,AUV,1,70019315,08:00,09:00,08:00-17:00,46.0,34.26,0,807.1189999999999
R_1-13-2023_0,AUV_0,AUV,2,70390799,09:05,10:05,08:00-17:00,230.0,2.92,0,761.1189999999999
R_1-13-2023_0,AUV_0,AUV,3,70017539,10:15,11:15,08:00-16:00,231.04,4.84,0,531.1189999999999
R_1-13-2023_0,AUV_0,AUV,4,70018486,11:29,12:29,08:00-17:00,4.132,7.07,0,300.07899999999995
R_1-13-2023_0,AUV_0,AUV,5,70084927,12:40,13:40,08:00-16:00,225.387,5.62,0,295.94699999999995
R_1-13-2023_0,AUV_0,AUV,6,70017437,13:43,14:43,08:00-16:00,2.56,1.5,0,70.55999999999995
R_1-13-2023_0,AUV_0,AUV,7,70373907,14:55,15:55,08:00-17:00,22.0,5.63,0,67.99999999999994
R_1-13-2023_0,AUV_0,AUV,8,70490240,15:58,16:58,08:00-17:00,46.0,1.47,0,45.99999999999994
R_1-13-2023_1,6w_1,6w,1,70351598,08:00,09:00,08:00-17:00,661.0,31.46,0,3875.6699999999996
R_1-13-2023_1,6w_1,6w,2,70019395,09:01,10:01,08:00-17:00,11.0,0.72,0,3214.6699999999996
R_1-13-2023_1,6w_1,6w,3,70017505,10:02,11:02,08:00-17:00,9.029,0.54,0,3203.6699999999996
R_1-13-2023_1,6w_1,6w,4,70017459,11:02,12:02,08:00-16:00,384.0,0.19,0,3194.6409999999996
R_1-13-2023_1,6w_1,6w,5,70152945,12:03,13:03,08:00-17:00,116.0,0.39,0,2810.6409999999996
R_1-13-2023_1,6w_1,6w,6,70083842,13:07,14:07,08:00-17:00,538.0,1.84,0,2694.6409999999996
R_1-13-2023_1,6w_1,6w,7,70435202,14:07,15:07,08:00-17:00,311.0,0.14,0,2156.6409999999996
R_1-13-2023_1,6w_1,6w,8,70082414,15:17,15:37,08:00-17:00,611.963,4.78,0,1845.6409999999996
R_1-13-2023_1,6w_1,6w,9,70155196,15:49,16:49,08:00-17:00,1233.678,6.02,0,1233.6779999999997
R_1-13-2023_2,4w_2,4w,1,70521405,08:00,09:00,08:00-17:00,604.342,24.15,0,1832.021
R_1-13-2023_2,4w_2,4w,2,70031292,09:13,10:13,08:00-17:00,40.175,6.57,0,1227.679
R_1-13-2023_2,4w_2,4w,3,70430210,10:18,11:18,08:00-17:00,3.018,2.83,0,1187.5040000000001
R_1-13-2023_2,4w_2,4w,4,70382797,11:25,12:25,08:00-17:00,226.0,3.29,0,1184.486
R_1-13-2023_2,4w_2,4w,5,70395155,12:31,12:51,08:00-17:00,723.051,3.2,0,958.4860000000001
R_1-13-2023_2,4w_2,4w,6,70401488,12:59,13:59,08:00-17:00,173.0,3.97,0,235.43500000000006
R_1-13-2023_2,4w_2,4w,7,70343296,14:01,15:01,08:00-17:00,1.465,1.12,0,62.43500000000006
R_1-13-2023_2,4w_2,4w,8,70043420,15:02,16:02,08:00-17:00,46.0,0.49,0,60.970000000000056
R_1-13-2023_2,4w_2,4w,9,70017470,16:07,17:07,08:00-17:00,14.97,2.28,0,14.970000000000056
