RouteID,VehicleID,VehicleType,Departure_From_Depot,Arrival_Back_Depot,Num_Stops,Total_Distance_KM,Total_Duration_Min,Total_Load_KGM,Capacity_KGM,Util_KGM_%,Total_Trip_Cost
R_3-16-2023_0,4w_0,4w,07:08,17:48,8,94.9,639.8,1946.0,2000.0,97.3,1207.0
R_3-16-2023_1,4w_1,4w,07:25,18:40,14,132.26,675.5,1651.0,2000.0,93.3,1658.0
R_3-16-2023_2,6w_2,6w,06:37,18:41,14,131.8,723.8,5761.0,7000.0,98.1,1959.0
R_3-16-2023_3,4w_3,4w,07:24,17:47,8,71.71,623.4,1408.0,2000.0,70.4,929.0
R_3-16-2023_4,4w_4,4w,07:27,17:20,7,86.83,593.7,1528.0,2000.0,76.4,1109.0
R_3-16-2023_5,AUV_5,AUV,07:27,17:23,8,155.71,596.4,936.0,1000.0,96.5,1602.0
