,2513,70012106,70012117,70012153,70012290,70012430,70012591,70012665,70012714,70012890,70012891,70012907,70012918,70012920,70012922,70012923,70012924,70012935,70082236,70082252,70082254,70086569,70089387,70089406,70089459,70089614,70090248,70127594,70130947,70135374,70278437,70278438,70278442,70382288,70383119,70385954,70436633,70438306,70462646,70482687,70494719,70522201,70559301
2513,0.0,5484.6,5778.4,94177.3,7455.4,6404.0,6268.8,5953.9,5378.0,6039.2,5773.3,1596.8,1632.7,3211.3,6626.1,3200.9,2575.6,1424.7,95208.8,5285.5,3740.5,6935.6,12189.0,4045.4,5452.9,5588.9,892.0,2558.3,8474.3,1662.4,6245.8,9878.2,7813.1,5716.1,6518.1,5916.4,5100.9,5189.6,5381.8,8775.7,94314.9,6278.5,3984.6
70012106,5403.3,0.0,372.7,99048.8,3763.2,2756.6,2621.5,2306.6,2778.2,1928.4,6379.1,4966.4,4360.6,7690.7,11105.5,7680.3,3603.9,5034.8,100080.3,10156.9,8674.7,11807.0,14583.8,6916.3,95.5,1836.7,5251.4,7037.7,9957.6,6021.9,2598.5,4846.0,7264.1,2786.3,2870.8,10395.8,753.3,3433.9,2353.3,13647.2,99186.4,1543.6,6891.6
70012117,6212.2,1459.8,0.0,99857.6,4276.0,3269.5,3134.3,2819.4,3607.2,2441.2,6935.9,5523.2,5169.4,7592.3,11007.1,7582.0,4512.1,5794.9,100889.2,10965.8,8703.2,12615.9,14612.0,7473.1,1387.4,2393.5,6060.3,6939.4,10514.4,6420.3,3111.3,4421.3,7776.9,3299.1,3383.6,10297.5,1837.4,3990.7,2910.1,14456.0,99995.3,2056.5,7448.4
70012153,94656.9,98941.6,99235.5,0.0,99698.9,99861.0,99725.9,99411.0,98835.1,99496.3,95942.4,94110.9,95089.8,92224.5,89008.8,92214.2,96032.7,94881.7,1242.3,94236.2,91150.8,95886.3,101139.7,94214.5,98909.9,99045.9,94349.0,92757.6,92535.4,93966.2,99702.9,103335.3,100211.3,99173.2,99975.2,89495.1,98558.0,98646.7,98838.9,97726.4,62.0,99735.6,94153.7
70012290,7324.2,3565.9,3526.0,100969.7,0.0,1261.8,1861.9,1547.1,2595.2,1847.0,5017.0,6125.7,6281.5,8194.8,11609.6,8184.4,5114.6,6397.3,102001.2,12077.8,9305.7,13728.0,16426.2,6711.8,3661.4,2711.5,7172.3,7541.9,8595.5,7022.8,1181.2,6235.4,5525.3,1796.5,1376.0,10899.9,4112.6,2280.7,2855.0,15568.1,101107.3,2285.9,6783.8
70012430,6027.1,2568.7,2528.8,99672.5,1653.1,0.0,900.1,587.3,1332.0,849.8,4645.7,4828.5,4984.3,6897.7,10312.4,6887.3,3817.4,5100.2,100704.1,10780.7,8008.6,12430.8,16331.4,6340.4,2664.2,1714.3,5875.2,6244.7,8224.1,5725.6,488.4,6140.6,5154.0,533.3,114.2,9602.8,3115.5,1909.3,1557.9,14270.9,99810.2,1288.7,6412.4
70012591,6180.3,2422.0,2382.1,99825.7,2020.9,938.2,0.0,403.1,1869.0,703.1,5018.9,4981.7,5137.6,7050.9,10465.7,7040.5,3970.6,5253.4,100857.3,10933.9,8161.8,12584.0,15482.1,6713.6,2517.5,1567.6,6028.4,6397.9,8597.3,5878.8,856.2,5291.3,5527.2,1043.5,1052.4,9756.0,2968.7,2282.6,1711.1,14424.2,99963.4,1142.0,6785.6
70012665,5777.1,2018.8,1978.9,99422.6,2134.8,900.8,574.8,0.0,1465.9,300.0,4981.4,4578.6,4734.4,6647.7,10062.5,6637.4,3567.5,4850.3,100454.2,10530.8,7758.6,12180.9,15781.5,6676.2,2114.3,1164.4,5625.3,5994.8,8559.9,5475.7,970.1,5590.7,5489.7,1006.1,1014.9,9352.9,2565.6,2208.9,1307.9,14021.0,99560.2,738.8,6748.2
70012714,5584.4,2380.1,2340.2,99229.9,2032.5,1026.0,890.8,575.9,0.0,661.2,5025.1,4385.9,4541.7,6455.0,9869.8,6444.6,3374.8,4657.5,100261.4,10338.0,7565.9,11988.2,16142.7,6719.8,2475.6,971.7,5432.5,5802.1,8603.5,5283.0,867.8,5952.0,5533.4,360.7,1140.1,9160.2,2926.8,2288.8,1115.2,13828.3,99367.5,1100.1,6791.8
